Draw,Artist,Song,Points,Place
1.0,Eldin Huseinbegović,"""Volio obolio""",13.0,13.0
2.0,Beat House,"""Kunem te ja""",39.0,6.0
3.0,Krug,"""U ritmu novom""",33.0,8.0
4.0,Seven Up,"""Daj spusti se""",58.0,3.0
5.0,Dražen Žerić,"""Proveo bi život ispod mostova""",16.0,12.0
6.0,Dunja Galineo & Nurudin Vatrenjak,"""Budi tu""",0.0,17.0
7.0,Sarajevo Old Stars,"""Šampion""",51.0,4.0
8.0,Zejnaida Mesihović,"""Dala bih ti život""",38.0,7.0
9.0,Željka Katavić-Pilj,"""Bog mi je svjedok""",40.0,5.0
10.0,Sanja Volić,"""Jedini, ljubim te""",10.0,14.0
11.0,Seid Memić-Vajta,"""Stare melodije""",19.0,11.0
12.0,Elvana Dučić,"""Priznat ću ti sve""",7.0,16.0
13.0,Hari Mata Hari,"""Starac i more""",70.0,1.0
14.0,Dino & Béatrice,"""Putnici""",65.0,2.0
15.0,Igor,"""Glumica""",28.0,9.0
16.0,Sarajevska Ruža,"""Želja""",10.0,14.0
17.0,Andrej i Romana,"""Ostavi suze""",25.0,10.0
