Date,Ship,Nationality,Tonnage,Fate
16 May 1941,Llangibby Castle,Great Britain,11951.0,Damaged
13 April 1942,Empire Progress,Great Britain,5249.0,Sunk
30 April 1942,Ashkhabad,Soviet Union,5284.0,Sunk
2 May 1942,USS Cythera,USA,602.0,Sunk
2 November 1942,Dalcroy,Great Britain,4558.0,Sunk
2 November 1942,Empire Antelope,Great Britain,4945.0,Sunk
2 November 1942,Empire Leopard,Great Britain,5676.0,Sunk
2 November 1942,Empire Sunrise,Great Britain,7459.0,Damaged
2 November 1942,Rinos,Greece,4649.0,Sunk
7 February 1942,Afrika,Great Britain,8597.0,Sunk
7 February 1942,Daghild,Norway,9272.0,Damaged
7 February 1942,Henry R. Mallory,USA,6063.0,Sunk
7 February 1942,Kalliopi,Greece,4695.0,Sunk
7 February 1942,Robert E. Hopkins,Great Britain,6625.0,Sunk
7 February 1942,Toward,Great Britain,1571.0,Sunk
8 February 1942,Newton Ash,Great Britain,1571.0,Sunk
11 May 1943,Antigone,Great Britain,4545.0,Sunk
11 May 1943,Grado,Norway,3082.0,Sunk
