Rank,Heat,Lane,Name,Nationality,Time
1.0,6.0,5.0,Federica Pellegrini,Italy,1:55.45
2.0,5.0,4.0,Sara Isakovič,Slovenia,1:55.86
3.0,5.0,3.0,Caitlin McClatchey,Great Britain,1:56.97
4.0,6.0,4.0,Katie Hoff,United States,1:57.20
5.0,6.0,2.0,Ágnes Mutina,Hungary,1:57.25
6.0,4.0,2.0,Pang Jiaying,China,1:57.37
7.0,4.0,4.0,Allison Schmitt,United States,1:57.38
8.0,6.0,1.0,Haruka Ueda,Japan,1:57.64
9.0,4.0,3.0,Camelia Potec,Romania,1:57.65
10.0,5.0,5.0,Bronte Barratt,Australia,1:57.75
11.0,5.0,2.0,Ophélie-Cyrielle Étienne,France,1:57.93
12.0,6.0,3.0,Linda Mackenzie,Australia,1:57.96
13.0,5.0,6.0,Josefin Lillhage,Sweden,1:57.98
14.0,4.0,5.0,Joanne Jackson,Great Britain,1:58.00
15.0,6.0,6.0,Aurore Mongel,France,1:58.11
16.0,5.0,1.0,Ida Marko-Varga,Sweden,1:58.21
17.0,4.0,7.0,Stephanie Horner,Canada,1:58.35
18.0,4.0,1.0,Melania Costa,Spain,1:59.50
19.0,6.0,7.0,Zhu Qianwei,China,1:59.52
20.0,6.0,8.0,Daria Belyakina,Russia,1:59.72
21.0,4.0,8.0,Maki Mita,Japan,1:59.96
22.0,4.0,6.0,Annika Lurz,Germany,1:59.98
23.0,3.0,5.0,Ranomi Kromowidjojo,Netherlands,2:00.02
24.0,5.0,7.0,Petra Dallmann,Germany,2:00.21
25.0,5.0,8.0,Geneviève Saumur,Canada,2:00.49
26.0,3.0,7.0,Jördis Steinegger,Austria,2:00.52
27.0,3.0,1.0,Anna Stylianou,Cyprus,2:00.55
28.0,3.0,6.0,Monique Ferreira,Brazil,2:00.64
28.0,2.0,4.0,Elina Partõka,Estonia,2:00.64
30.0,2.0,5.0,Nina Rangelova,Bulgaria,2:00.66
31.0,2.0,7.0,Hoi Shun Stephanie Au,Hong Kong,2:00.85
32.0,3.0,3.0,Paulina Barzycka,Poland,2:00.92
33.0,3.0,4.0,Melissa Corfe,South Africa,2:00.95
34.0,2.0,2.0,Louise Mai Jansen,Denmark,2:01.30
35.0,1.0,4.0,Nataliya Khudyakova,Ukraine,2:02.27
36.0,2.0,6.0,Lynette Lim,Singapore,2:02.30
37.0,3.0,8.0,Yang Chin-Kuei,Chinese Taipei,2:02.84
38.0,1.0,5.0,Natthanan Junkrajang,Thailand,2:02.88
39.0,2.0,8.0,Christine Mailliet,Luxembourg,2:02.91
40.0,1.0,2.0,Milica Ostojić,Serbia,2:03.19
41.0,1.0,7.0,Heysi Villarreal,Cuba,2:03.23
42.0,1.0,3.0,Anja Trišić,Croatia,2:03.57
43.0,2.0,3.0,Melanie Nocher,Ireland,2:04.29
44.0,3.0,2.0,Eleni Kosti,Greece,2:04.55
45.0,1.0,6.0,Sigrún Brá Sverrisdóttir,Iceland,2:04.82
46.0,2.0,1.0,Lee Keo-Ra,South Korea,2:05.71
