School,Location,Mascot,County,Year joined,Previous Conference,Year Left,Conference joined
Kokomo Haworth,Kokomo,Huskies,34 Howard,1971.0,independent,1984.0,none (school closed)
Madison Heights,Anderson,Pirates,48 Madison,1971.0,independent,1997.0,none (school closed)
Muncie North Side,Muncie,Titans,18 Delaware,1971.0,none (new school),1986.0,none (school closed)
Muncie Southside,Muncie,Rebels,18 Delaware,1971.0,independent,2010.0,independent
Carmel,Carmel,Greyhounds,29 Hamilton,1974.0,Sagamore,1998.0,Metro
Huntington North,Huntington,Vikings,35 Huntington,1974.0,Central Indiana,2003.0,North Central
Anderson Highland,Anderson,Scots,48 Madison,1985.0,Classic,2010.0,none (school closed)
Jay County,Portland,Patriots,38 Jay,1985.0,Classic,2010.0,independent
Noblesville,Noblesville,Millers,29 Hamilton,1985.0,Central Suburban,2000.0,Hoosier Crossroads
Connersville,Connersville,Spartans,21 Fayette,1991.0,South Central,2010.0,independent
Brownsburg,Brownsburg,Bulldogs,32 Hendricks,1997.0,independent,2000.0,Hoosier Crossroads
Hamilton Southeastern,Fishers,Royals,29 Hamilton,1997.0,Hoosier Heritage,2000.0,Hoosier Crossroads
Harrison (West Lafayette),West Lafayette,Raiders,79 Tippecanoe,1997.0,Hoosier,2000.0,Hoosier Crossroads
McCutcheon,Lafayette,Mavericks,79 Tippecanoe,1997.0,Hoosier,2000.0,Hoosier Crossroads
