Rank,Census-designated place,Metropolitan area,State,Population (2000 census),Land area (mi 2 ),Population density (people per mi 2 )
1.0,Friendship Village,"Washington, D.C.",Maryland,4512.0,0.06,81991.7
7.0,Buena Vista,San Francisco,California,1704.0,0.07,24099.1
11.0,Bellerose Terrace,New York City,New York,2157.0,0.10,22212.2
12.0,Walnut Park,Los Angeles,California,16180.0,0.74,21919.0
15.0,Lennox,Los Angeles,California,22950.0,1.08,21257.5
20.0,Langley Park,"Washington, D.C.",Maryland,16214.0,0.82,19678.8
24.0,East Compton,Los Angeles,California,9286.0,0.52,17945.9
29.0,Westmont,Los Angeles,California,31623.0,1.85,17103.0
31.0,Florence-Graham,Los Angeles,California,60197.0,3.58,16799.7
32.0,East Los Angeles,Los Angeles,California,124283.0,7.44,16697.4
41.0,Loch Lomond,Miami,Florida,3537.0,0.23,15711.2
44.0,Ewa Gentry,Honolulu,Hawaii,4939.0,0.32,15627.7
50.0,Ramblewood East,Miami,Florida,1395.0,0.09,14932.7
56.0,Rollingwood,San Francisco,California,2900.0,0.21,14036.3
60.0,South San Jose Hills,Los Angeles,California,20218.0,1.46,13876.4
63.0,Franklin Park,Miami,Florida,943.0,0.07,13817.5
66.0,Fountainbleau,Miami,Florida,59549.0,4.40,13524.7
68.0,North Fair Oaks,San Francisco,California,15440.0,1.17,13221.9
74.0,West Puente Valley,Los Angeles,California,22589.0,1.75,12908.0
75.0,Waipahu,Honolulu,Hawaii,33108.0,2.57,12882.8
78.0,Seven Corners,"Washington, D.C.",Virginia,8701.0,0.68,12773.2
91.0,Alum Rock,San Francisco,California,13479.0,1.12,12044.7
96.0,Ocean Grove,New York City,New Jersey,4256.0,0.36,11956.5
98.0,Cherryland,San Francisco,California,13837.0,1.17,11859.2
102.0,Citrus,Los Angeles,California,10581.0,0.90,11784.8
105.0,Burbank,San Francisco,California,5239.0,0.45,11748.6
117.0,Ashland,San Francisco,California,20793.0,1.84,11284.9
119.0,Bailey's Crossroads,"Washington, D.C.",Virginia,23166.0,2.05,11276.0
123.0,Kendall West,Miami,Florida,38034.0,3.39,11218.6
136.0,Valinda,Los Angeles,California,21776.0,2.01,10830.8
139.0,Huntington,"Washington, D.C.",Virginia,8325.0,0.78,10665.6
144.0,Village Park,Honolulu,Hawaii,9625.0,0.92,10490.0
149.0,Ewa Beach,Honolulu,Hawaii,14650.0,1.42,10341.4
151.0,South Whittier,Los Angeles,California,55193.0,5.38,10257.7
156.0,Franklin Square,New York City,New York,29342.0,2.89,10169.2
