Driver,Constructor,Laps,Time/Retired,Grid
Nelson Piquet,Williams - Honda,44.0,1:21:25.091,4.0
Stefan Johansson,McLaren - TAG,44.0,+ 1:39.591,8.0
Ayrton Senna,Lotus - Honda,43.0,+ 1 Lap,2.0
Philippe Streiff,Tyrrell - Ford,43.0,+ 1 Lap,22.0
Jonathan Palmer,Tyrrell - Ford,43.0,+ 1 Lap,23.0
Philippe Alliot,Lola - Ford,42.0,+ 2 Laps,21.0
Alain Prost,McLaren - TAG,39.0,Electrical,3.0
Martin Brundle,Zakspeed,34.0,Not Classified,19.0
Piercarlo Ghinzani,Ligier - Megatron,32.0,Engine,17.0
Adrián Campos,Minardi - Motori Moderni,28.0,Engine,18.0
Thierry Boutsen,Benetton - Ford,26.0,Engine,6.0
Nigel Mansell,Williams - Honda,25.0,Engine,1.0
Alessandro Nannini,Minardi - Motori Moderni,25.0,Engine,16.0
Derek Warwick,Arrows - Megatron,23.0,Turbo,13.0
Christian Danner,Zakspeed,21.0,Halfshaft,20.0
Gerhard Berger,Ferrari,19.0,Turbo,10.0
Teo Fabi,Benetton - Ford,18.0,Engine,9.0
Alex Caffi,Osella - Alfa Romeo,17.0,Engine,26.0
Andrea de Cesaris,Brabham - BMW,12.0,Engine,7.0
Michele Alboreto,Ferrari,10.0,Turbo,5.0
Pascal Fabre,AGS - Ford,10.0,Engine,25.0
Eddie Cheever,Arrows - Megatron,9.0,Throttle,15.0
Satoru Nakajima,Lotus - Honda,9.0,Turbo,14.0
Ivan Capelli,March - Ford,7.0,Engine,24.0
René Arnoux,Ligier - Megatron,6.0,Ignition,12.0
Riccardo Patrese,Brabham - BMW,5.0,Ignition,11.0
