Club,First season in top division,Number of seasons in top division,First season of current spell in top division,Number of seasons in Liga MX,Top division titles
América,1943-44,89.0,1943-44,89.0,11.0
Atlante,1943-44,87.0,1991-92,40.0,3.0
Atlas,1943-44,86.0,1979-80,51.0,1.0
Chiapas,2002-03,22.0,2002-03,22.0,0.0
Cruz Azul,1964-65,68.0,1964-65,68.0,8.0
Guadalajara,1943-44,89.0,1943-44,89.0,11.0
León,1944-45,65.0,2012-13,2.0,5.0
Monterrey,1945-46,74.0,1960-61,72.0,4.0
Morelia,1957-58,61.0,1981-82,50.0,1.0
Pachuca,1967-68,40.0,1998-99,30.0,5.0
Puebla,1944-45,69.0,2007-08,12.0,2.0
Querétaro,1990-91,18.0,2009-10,8.0,0.0
Santos Laguna,1988-89,42.0,1988-89,42.0,4.0
Tijuana,2011-12,4.0,2011-12,4.0,1.0
Toluca,1953-54,79.0,1953-54,79.0,10.0
UANL,1974-75,55.0,1997-98,32.0,3.0
UNAM,1962-63,70.0,1962-63,70.0,7.0
