Name,Japanese,Population ( 2012 ),Date of designation,Region,Prefecture
Akashi,明石,290927.0,2002-04-01,Kansai,Hyōgo
Atsugi,厚木,224181.0,2002-04-01,Kantō,Kanagawa
Chigasaki,茅ヶ崎,236222.0,2003-04-01,Kantō,Kanagawa
Fuji,富士,253455.0,2001-04-01,Chūbu,Shizuoka
Fukui,福井,266612.0,2000-04-01,Chūbu,Fukui
Hachinohe,八戸,236390.0,2001-04-01,Tōhoku,Aomori
Hirakata,枚方,407270.0,2001-04-01,Kansai,Osaka
Hiratsuka,平塚,260061.0,2001-04-01,Kantō,Kanagawa
Ibaraki,茨木,276474.0,2001-04-01,Kansai,Osaka
Ichinomiya,一宮,378996.0,2001-04-01,Chūbu,Aichi
Isesaki,伊勢崎,207253.0,2007-04-01,Kantō,Gunma
Jōetsu,上越,202366.0,2007-04-01,Chūbu,Niigata
Kakogawa,加古川,268175.0,2002-04-01,Kansai,Hyōgo
Kasugai,春日井,306573.0,2002-04-01,Chūbu,Aichi
Kasukabe,春日部,236976.0,2008-04-01,Kantō,Saitama
Kawaguchi,川口,561788.0,2001-04-01,Kantō,Saitama
Kishiwada,岸和田,198615.0,2002-04-01,Kansai,Osaka
Kōfu,甲府,197318.0,2000-04-01,Chūbu,Yamanashi
Koshigaya,越谷,328079.0,2003-04-01,Kantō,Saitama
Kumagaya,熊谷,201814.0,2009-04-01,Kantō,Saitama
Kure,呉,236595.0,2000-04-01,Chūgoku,Hiroshima
Matsue,松江,208160.0,2012-04-01,Chūgoku,Shimane
Matsumoto,松本,243431.0,2000-04-01,Chūbu,Nagano
Mito,水戸,269162.0,2001-04-01,Kantō,Ibaraki
Nagaoka,長岡,281101.0,2007-04-01,Chūbu,Niigata
Neyagawa,寝屋川,238819.0,2001-04-01,Kansai,Osaka
Numazu,沼津,199883.0,2000-04-01,Chūbu,Shizuoka
Odawara,小田原,197413.0,2000-04-01,Kantō,Kanagawa
Ōta,太田,217107.0,2007-04-01,Kantō,Gunma
Sasebo,佐世保,259676.0,2001-04-01,Kyushu,Nagasaki
Sōka,草加,244851.0,2004-04-01,Kantō,Saitama
Suita,吹田,357917.0,2001-04-01,Kansai,Osaka
Takarazuka,宝塚,227617.0,2003-04-01,Kansai,Hyōgo
Tokorozawa,所沢,342321.0,2002-04-01,Kantō,Saitama
Tottori,鳥取,196538.0,2005-04-01,Chūgoku,Tottori
Tsukuba,つくば,216221.0,2007-04-01,Kantō,Ibaraki
Yamagata,山形,254519.0,2001-04-01,Tōhoku,Yamagata
Yamato,大和,230357.0,2000-04-01,Kantō,Kanagawa
Yao,八尾,270735.0,2001-04-01,Kansai,Osaka
Yokkaichi,四日市,307599.0,2000-04-01,Kansai,Mie
