Rank,Celebrity,Professional Partner,Season,Average
1.0,Natasza Urbańska,Ján Kliment,10.0,39.18
2.0,Katarzyna Glinka,Stefano Terrazzino,11.0,38.76
3.0,Justyna Steczkowska,Stefano Terrazzino,6.0,37.67
4.0,Paweł Staliński,Izabela Janachowska,12.0,37.29
5.0,Natalia Lesz,Łukasz Czarnecki,8.0,37.24
6.0,Bilguun Ariunbaatar,Janja Lesar,13.0,36.65
7.0,Bartek Kasprzykowski,Blanka Winiarska,9.0,36.6
8.0,Małgorzata Foremniak,Rafał Maserak,2.0,36.36
9.0,Aleksandra Kwaśniewska,Rafał Maserak,3.0,35.21
10.0,Peter J. Lucas,Dominika Kublik-Marzec,4.0,34.93
11.0,Witold Paszt,Anna Głogowska,1.0,34.66
12.0,Ivan Komarenko,Blanka Winiarska,5.0,33.36
13.0,Mariusz Pudzianowski,Magdalena Soszyńska-Michno,7.0,33.06
