Umpire,Country,Panel,Matches,WC Matches,2011 WC
Asad Rauf,Pakistan,Elite Panel of ICC Umpires,83.0,8.0,5.0
Billy Bowden,New Zealand,Elite Panel of ICC Umpires,150.0,16.0,5.0
Billy Doctrove,West Indies,Elite Panel of ICC Umpires,101.0,8.0,5.0
Aleem Dar,Pakistan,Elite Panel of ICC Umpires,138.0,14.0,8.0
Simon Taufel,Australia,Elite Panel of ICC Umpires,159.0,15.0,8.0
Steve Davis,Australia,Elite Panel of ICC Umpires,97.0,3.0,7.0
Tony Hill,New Zealand,Elite Panel of ICC Umpires,79.0,3.0,5.0
Asoka de Silva,Sri Lanka,Elite Panel of ICC Umpires,110.0,10.0,4.0
Ian Gould,England,Elite Panel of ICC Umpires,48.0,3.0,7.0
Daryl Harper,Australia,Elite Panel of ICC Umpires,169.0,16.0,5.0
Marais Erasmus,South Africa,Elite Panel of ICC Umpires,26.0,0.0,6.0
Rod Tucker,Australia,Elite Panel of ICC Umpires,18.0,0.0,6.0
Shavir Tarapore,India,International Panel of Umpires and Referees,16.0,0.0,4.0
Bruce Oxenford,Australia,International Panel of Umpires and Referees,21.0,1.0,5.0
Amiesh Saheba,India,International Panel of Umpires and Referees,47.0,0.0,4.0
Richard Kettleborough,England,International Panel of Umpires and Referees,12.0,0.0,4.0
Nigel Llong,England,International Panel of Umpires and Referees,39.0,0.0,5.0
Kumar Dharmasena,Sri Lanka,International Panel of Umpires and Referees,20.0,1.0,5.0
