Week,Date,Opponent,Result,Attendance
1.0,"September 28, 1951",New York Yanks,W 54-14,30315.0
2.0,"October 7, 1951",Cleveland Browns,L 38-23,67186.0
3.0,"October 14, 1951",at Detroit Lions,W 27-21,50567.0
4.0,"October 21, 1951",at Green Bay Packers,W 28-0,21393.0
5.0,"October 28, 1951",at San Francisco 49ers,L 44-17,49538.0
6.0,"November 4, 1951",San Francisco 49ers,W 23-16,54346.0
7.0,"November 11, 1951",Chicago Cardinals,W 45-21,29995.0
8.0,"November 18, 1951",New York Yanks,W 48-21,34717.0
9.0,"November 25, 1951",at Washington Redskins,L 31-21,26307.0
10.0,"December 2, 1951",at Chicago Bears,W 42-17,50286.0
11.0,"December 9, 1951",Detroit Lions,L 24-22,52937.0
12.0,"December 16, 1951",Green Bay Packers,W 42-14,23698.0
