Urban area (locality),Municipality,Population,Land area (hectares),Density (inh./km²),Code
Abbekås,Skurup Municipality,729.0,90.60,804.64,3300.0
Abborrberget,Strängnäs Municipality,2141.0,137.56,1556.41,699.0
Agunnaryd,Ljungby Municipality,220.0,40.43,544.15,1802.0
Alberga,Eskilstuna Municipality,395.0,41.93,942.05,700.0
Alby,Ånge Municipality,367.0,123.60,296.93,7400.0
Alfta,Ovanåker Municipality,2155.0,343.48,627.40,7000.0
Algutsrum,Mörbylånga Municipality,532.0,57.27,928.93,2092.0
Alingsås,Alingsås Municipality,24482.0,1235.23,1981.98,4700.0
Allerum,Helsingborg Municipality,716.0,77.94,918.66,3304.0
Almunge,Uppsala Municipality,813.0,84.54,961.67,500.0
Alsike,Knivsta Municipality,2681.0,238.26,1125.24,504.0
Alstad,Trelleborg Municipality,237.0,23.15,1023.76,3308.0
Alster,Karlstad Municipality,586.0,83.88,698.62,5596.0
Alsterbro,Nybro Municipality,422.0,87.95,479.82,2100.0
Alstermo,Uppvidinge Municipality,829.0,156.08,531.14,1804.0
Alunda,Östhammar Municipality,2317.0,228.34,1014.71,508.0
Alvesta,Alvesta Municipality,8017.0,610.32,1313.57,1808.0
Alvhem,Ale Municipality,202.0,20.54,983.45,4704.0
Alvik,Leksand Municipality,227.0,88.02,257.90,6402.0
Alvik,Luleå Municipality,777.0,166.56,466.50,8504.0
Ambjörby,Torsby Municipality,227.0,148.11,153.26,5600.0
Ambjörnarp,Tranemo Municipality,270.0,85.63,315.31,4708.0
Ammenäs,Uddevalla Municipality,544.0,150.11,362.40,4296.0
Andalen,Gothenburg Municipality,2188.0,158.31,1382.10,4550.0
Anderslöv,Trelleborg Municipality,1808.0,102.69,1760.64,3312.0
Anderstorp,Gislaved Municipality,4965.0,561.34,884.49,1400.0
Aneby,Aneby Municipality,3367.0,336.75,999.85,1404.0
Angelstad,Ljungby Municipality,271.0,48.18,562.47,1812.0
Angered,Gothenburg Municipality,950.0,159.54,595.46,4294.0
Ankarsrum,Västervik Municipality,1254.0,165.97,755.56,2104.0
Ankarsvik,Sundsvall Municipality,944.0,169.32,557.52,7408.0
Anneberg,Kungsbacka Municipality,1469.0,112.63,1304.27,3900.0
Anneberg,Nässjö Municipality,833.0,97.84,851.39,1408.0
Annelund,Herrljunga Municipality,519.0,76.77,676.05,4712.0
Annelöv,Landskrona Municipality,380.0,32.79,1158.89,3316.0
Antnäs,Luleå Municipality,822.0,89.76,915.78,8508.0
Aplared,Borås Municipality,465.0,55.45,838.59,4716.0
Arboga,Arboga Municipality,10330.0,949.77,1087.63,6200.0
Arbrå,Bollnäs Municipality,2215.0,394.22,561.87,7004.0
Ardala,Skara Municipality,725.0,52.76,1374.15,5200.0
Arentorp,Vara Municipality,472.0,57.52,820.58,5204.0
Arild,Höganäs Municipality,522.0,145.47,358.84,3320.0
Arjeplog,Arjeplog Municipality,1977.0,229.18,862.64,8512.0
Arkelstorp,Kristianstad Municipality,768.0,107.63,713.56,2800.0
Arnäsvall,Örnsköldsvik Municipality,341.0,83.43,408.73,7412.0
Arnö,Nyköping Municipality,3871.0,210.05,1842.89,702.0
Arontorp,Mörbylånga Municipality,233.0,37.03,629.22,2106.0
Arvidsjaur,Arvidsjaur Municipality,4635.0,466.90,992.72,8516.0
Arvika,Arvika Municipality,14244.0,1061.81,1341.48,5604.0
Aröd och Timmervik,Stenungsund Municipality,637.0,147.78,431.05,5070.0
Askeby,Linköping Municipality,518.0,49.17,1053.49,1004.0
Askersby,Örebro Municipality,243.0,52.95,458.92,5900.0
Askersund,Askersund Municipality,3887.0,278.02,1398.10,5904.0
Asmundtorp,Landskrona Municipality,1562.0,100.15,1559.66,3328.0
Asperö,Gothenburg Municipality,402.0,32.69,1229.73,4298.0
Aspås,Krokom Municipality,375.0,62.09,603.96,7800.0
Avan,Luleå Municipality,200.0,64.55,309.84,8524.0
Avesta,Avesta Municipality,14506.0,1391.02,1042.83,6404.0
Axvall,Skara Municipality,1186.0,110.30,1075.25,5208.0
Backa,Kungsbacka Municipality,1547.0,141.02,1097.01,3904.0
Backaryd,Ronneby Municipality,365.0,66.94,545.26,2600.0
Backberg,Sandviken Municipality,244.0,85.78,284.45,7012.0
Backe,Strömsund Municipality,599.0,126.21,474.61,7804.0
Baggetorp,Vingåker Municipality Katrineholm Municipality,502.0,84.40,594.79,704.0
Ballingslöv,Hässleholm Municipality,310.0,58.20,532.65,2804.0
Balsby,Kristianstad Municipality,430.0,39.11,1099.46,2808.0
Bammarboda,Österåker Municipality,249.0,79.19,314.43,102.0
Bankekind,Linköping Municipality,405.0,29.77,1360.43,1008.0
Bankeryd,Jönköping Municipality,8107.0,539.40,1502.97,1412.0
Bara,Svedala Municipality,3444.0,163.93,2100.90,3332.0
Barkarö,Västerås Municipality,1163.0,85.15,1365.83,6204.0
Barsebäck,Kävlinge Municipality,524.0,44.21,1185.25,3336.0
Barsebäckshamn,Kävlinge Municipality,438.0,38.04,1151.42,3337.0
Bastuträsk,Norsjö Municipality,392.0,109.33,358.55,8112.0
