Season,Games,Lost,Tied,Points,Goals for,Goals against,Coach
1965–66,70.0,19.0,5.0,97.0,376.0,314.0,Morris Lallo
1966–67,72.0,43.0,2.0,56.0,262.0,299.0,Morris Lallo
1967–68,72.0,17.0,12.0,98.0,305.0,216.0,Morris Lallo
1968–69,72.0,29.0,9.0,77.0,332.0,287.0,Morris Lallo
1969–70,72.0,18.0,8.0,100.0,356.0,271.0,Morris Lallo
1970–71,72.0,24.0,5.0,91.0,300.0,212.0,Morris Lallo
1971–72,72.0,21.0,2.0,100.0,328.0,231.0,Morris Lallo
1972–73,74.0,34.0,4.0,76.0,302.0,259.0,Bryan McLay † Morris Lallo ‡
1973–74,76.0,26.0,6.0,94.0,272.0,234.0,Morris Lallo
1974–75,75.0,24.0,3.0,99.0,325.0,240.0,Morris Lallo
1975–76,78.0,31.0,13.0,81.0,260.0,238.0,Morris Lallo
1976–77,78.0,36.0,11.0,73.0,294.0,322.0,Bryan McLay † Morris Lallo ‡
1977–78,80.0,42.0,11.0,65.0,290.0,322.0,Bryan McLay † Morris Lallo ‡ Gerry Moore ‡
1978–79,80.0,58.0,7.0,37.0,275.0,475.0,Gerry Moore
1979–80,80.0,43.0,8.0,66.0,317.0,330.0,Gerry Moore
1980–81,82.0,45.0,9.0,65.0,274.0,351.0,Gerry Moore † Ted Garvin ‡
1981–82,82.0,49.0,3.0,64.0,319.0,411.0,Poul Popiel † Gerry Moore ‡
1982–83,82.0,41.0,12.0,71.0,335.0,354.0,Doug McKay
1983–84,82.0,58.0,5.0,46.0,282.0,435.0,Doug McKay
