Rank,Celebrity,Professional Partner,Season,Average
1.0,Mateusz Damięcki,Ewa Szabatin,6.0,37.83
2.0,Marta Żmuda-Trzebiatowska,Adam Król,8.0,37.57
3.0,Edyta Górniak,Ján Kliment,12.0,37.5
4.0,Tamara Arciuch,Łukasz Czarnecki,7.0,35.57
5.0,Michał Kwiatkowski,Janja Lesar,10.0,35.07
6.0,Jay Delano,Kamila Kajak,9.0,34.0
7.0,Andrzej Nejman,Magdalena Soszyńska-Michno,1.0,33.11
8.0,Weronika Marczuk,Ján Kliment,13.0,33.0
9.0,Marcin Mroczek,Edyta Herbuś,4.0,32.91
10.0,Joanna Koroniewska,Robert Kochanek,3.0,32.82
11.0,Katarzyna Grochola,Ján Kliment,11.0,28.5
12.0,Katarzyna Tusk,Stefano Terrazzino,5.0,27.64
13.0,Jakub Wesołowski,Edyta Herbuś,2.0,27.0
