Round,Pick,Overall,Name,Position,College
1.0,3.0,3.0,Jack Scarbath,QB,Maryland
2.0,3.0,16.0,Dick Modzelewski,DT,Maryland
3.0,2.0,27.0,Paul Dekker,E,Michigan State
4.0,3.0,40.0,Don Boll,OT,Nebraska
5.0,2.0,51.0,Nick Carras,RB,Missouri
8.0,3.0,88.0,Lew Weidensaul,E,Maryland
11.0,2.0,123.0,Alex Webster,HB,North Carolina State
12.0,3.0,136.0,Buzz Nutter,C,Virginia Tech
14.0,3.0,160.0,Ed Timmerman,RB,Michigan State
15.0,2.0,171.0,Dave Suminski,G,Wisconsin
16.0,3.0,184.0,Jim Slay,E,Mississippi
17.0,2.0,195.0,Bob Haner,RB,Villanova
18.0,3.0,208.0,Jim Turner,RB,Texas Tech
19.0,2.0,219.0,Tom Flyzik,OT,George Washington [b ]
20.0,3.0,232.0,Bill Link,G,Wake Forest
21.0,2.0,243.0,Jim Dublinski,C,Utah
22.0,3.0,256.0,Ed Pucci,G,Southern California
23.0,2.0,267.0,Ed Bierne,E,Detroit Mercy [e ]
24.0,3.0,280.0,Stan Butterworth,RB,Bucknell
25.0,2.0,291.0,Art Hurd,G,Maryland
26.0,3.0,304.0,Walt Ashcraft,OT,Southern California
27.0,2.0,315.0,John Zanetti,OT,John Carroll
28.0,3.0,328.0,Bob Buckley,RB,Southern California
29.0,2.0,339.0,Pat Shires,RB,Tennessee
30.0,3.0,352.0,Bob Mathias,RB,Stanford
