Pick #,Player,Position,Nationality,NHL team,College/junior/club team
65.0,Richard Grenier,Centre,Canada,New York Islanders,Verdun Eperviers (QMJHL)
66.0,Bill Nyrop,Defence,United States,Montreal Canadiens,University of Notre Dame (WCHA)
67.0,Larry Bolonchuk,Defence,Canada,Vancouver Canucks,Winnipeg Jets (WCHL)
68.0,Bernie Germain,Goaltender,Canada,Los Angeles Kings,Regina Pats (WCHL)
69.0,Gilles Gratton,Goaltender,Canada,Buffalo Sabres,Oshawa Generals (OMJHL)
70.0,Tim Jacobs,Defence,Canada,California Golden Seals,St. Catharines Black Hawks (OMJHL)
71.0,Daryl Fedorak,Goaltender,Canada,Philadelphia Flyers,Victoria Cougars (WCHL)
72.0,Brian Walker,Centre,Canada,Pittsburgh Penguins,Calgary Centennials (WCHL)
73.0,Dave Johnson,Left Wing,Canada,St. Louis Blues,Cornwall Royals (QMJHL)
74.0,Dennis Johnson,Left Wing,United States,Detroit Red Wings,University of North Dakota (WCHA)
75.0,Michel Plante,Left Wing,Canada,Toronto Maple Leafs,Drummondville Rangers (QMJHL)
76.0,Chris Ahrens,Defence,United States,Minnesota North Stars,Kitchener Rangers (OMJHL)
77.0,Rejean Giroux,Right Wing,Canada,Chicago Black Hawks,Quebec Remparts (QMJHL)
78.0,Jean-Paul Martin,Centre,Canada,Atlanta Flames,Shawinigan Dynamos (QMJHL)
79.0,Marty Gateman,Defence,Canada,New York Rangers,Hamilton Red Wings (OMJHL)
80.0,Brian Coates,Left Wing,Canada,Boston Bruins,Brandon Wheat Kings (WCHL)
