No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code
46.0,1.0,"""The Innocents""",Thomas J. Wright,Michael Duggan,"October2,1998",3ABC01
47.0,2.0,"""Exegesis""",Ralph Hemecker,Chip Johannessen,"October9,1998",3ABC02
48.0,3.0,"""TEOTWAWKI""",Thomas J. Wright,Chris Carter & Frank Spotnitz,"October16,1998",3ABC03
49.0,4.0,"""Closure""",Daniel Sackheim,Larry Andries,"October23,1998",3ABC04
50.0,5.0,"""...Thirteen Years Later""",Thomas J. Wright,Michael R. Perry,"October30,1998",3ABC05
51.0,6.0,"""Skull and Bones""",Paul Shapiro,Chip Johannessen & Ken Horton,"November6,1998",3ABC06
52.0,7.0,"""Through a Glass Darkly""",Thomas J. Wright,Patrick Harbinson,"November13,1998",3ABC07
53.0,8.0,"""Human Essence""",Thomas J. Wright,Michael Duggan,"December11,1998",3ABC09
54.0,9.0,"""Omertà""",Paul Shapiro,Michael R. Perry,"December18,1998",3ABC08
55.0,10.0,"""Borrowed Time""",Dwight Little,Chip Johannessen,"January15,1999",3ABC10
56.0,11.0,"""Collateral Damage""",Thomas J. Wright,Michael R. Perry,"January22,1999",3ABC11
57.0,12.0,"""The Sound of Snow""",Paul Shapiro,Patrick Harbinson,"February5,1999",3ABC12
58.0,13.0,"""Antipas""",Thomas J. Wright,Chris Carter & Frank Spotnitz,"February12,1999",3ABC13
59.0,14.0,"""Matryoshka""",Arthur Forney,Erin Maher & Kay Reindl,"February19,1999",3ABC14
60.0,15.0,"""Forcing the End""",Thomas J. Wright,Marjorie David,"March19,1999",3ABC15
61.0,16.0,"""Saturn Dreaming of Mercury""",Paul Shapiro,Chip Johannessen & Jordan Hawley,"April9,1999",3ABC16
62.0,17.0,"""Darwin's Eye""",Ken Fink,Patrick Harbinson,"April16,1999",3ABC18
63.0,18.0,"""Bardo Thodol""",Thomas J. Wright,Chip Johannessen & Virginia Stock,"April23,1999",3ABC17
64.0,19.0,"""Seven and One""",Peter Markle,Chris Carter & Frank Spotnitz,"April30,1999",3ABC19
65.0,20.0,"""Nostalgia""",Thomas J. Wright,Michael R. Perry,"May7,1999",3ABC20
66.0,21.0,"""Via Dolorosa""",Paul Shapiro,Marjorie David & Patrick Harbinson,"May14,1999",3ABC21
