Week,Date,Opponent,Result,Game site,Record,Attendance
1.0,"September 8, 1985",at Cincinnati Bengals,W 28-24,Riverfront Stadium,1-0,51625.0
2.0,"September 15, 1985",at San Diego Chargers,W 49-35,Jack Murphy Stadium,2-0,54420.0
3.0,"September 23, 1985",Los Angeles Rams,L 24-35,Kingdome,2-1,63292.0
4.0,"September 29, 1985",at Kansas City Chiefs,L 7-28,Arrowhead Stadium,2-2,50485.0
5.0,"October 6, 1985",San Diego Chargers,W 26-21,Kingdome,3-2,61300.0
6.0,"October 13, 1985",Atlanta Falcons,W 30-26,Kingdome,4-2,60430.0
7.0,"October 20, 1985",at Denver Broncos,L 10-13 OT,Mile High Stadium,4-3,74899.0
8.0,"October 27, 1985",at New York Jets,L 14-17,The Meadowlands,4-4,69320.0
9.0,"November 3, 1985",Los Angeles Raiders,W 33-3,Kingdome,5-4,64060.0
10.0,"November 10, 1985",at New Orleans Saints,W 27-3,Louisiana Superdome,6-4,47365.0
11.0,"November 17, 1985",New England Patriots,L 13-20,Kingdome,6-5,60345.0
12.0,"November 25, 1985",at San Francisco 49ers,L 6-19,Candlestick Park,6-6,57482.0
13.0,"December 1, 1985",Kansas City Chiefs,W 24-6,Kingdome,7-6,52655.0
14.0,"December 8, 1985",Cleveland Browns,W 31-13,Kingdome,8-6,58477.0
15.0,"December 15, 1985",at Los Angeles Raiders,L 3-13,Los Angeles Memorial Coliseum,8-7,77425.0
