White,Black,Year,Result,Moves,Tournament,Opening
Kramnik,Kasparov,1993.0,½–½,19.0,Linares,E86 King's Indian Defence
Kramnik,Kasparov,1994.0,1–0,40.0,Linares,E93 King's Indian Defence
Kasparov,Kramnik,1994.0,1–0,35.0,Novgorod,B33 Sicilian Defence
Kramnik,Kasparov,1994.0,½–½,26.0,Novgorod,D85 English Opening
Kramnik,Kasparov,1995.0,½–½,14.0,"Riga , Tal Memorial",C54 Italian Game
Kramnik,Kasparov,1995.0,½–½,58.0,Novgorod,C55 Two Knights Defense
Kasparov,Kramnik,1995.0,½–½,13.0,Horgen,B57 Sicilian Defence
Kasparov,Kramnik,1996.0,1–0,43.0,Amsterdam,B66 Sicilian Defence
Kasparov,Kramnik,1996.0,0–1,35.0,Dos Hermanas,D48 Queen's Gambit
Kasparov,Kramnik,1996.0,½–½,19.0,Las Palmas,E71 King's Indian Defence
Kramnik,Kasparov,1996.0,½–½,58.0,Las Palmas,D56 Queen's Gambit
Kasparov,Kramnik,1997.0,1–0,58.0,Linares,E59 Nimzo-Indian Defence
Kramnik,Kasparov,1997.0,1–0,32.0,Horgen,E97 King's Indian Defence
Kramnik,Kasparov,1997.0,½–½,41.0,Novgorod,B66 Sicilian Defence
Kasparov,Kramnik,1997.0,½–½,35.0,Tilburg,E39 Nimzo-Indian Defence
Kramnik,Kasparov,1998.0,½–½,26.0,Linares,D85 Grünfeld Defence
Kasparov,Kramnik,1998.0,½–½,52.0,Linares,E32 Nimzo-Indian Defence
Kramnik,Kasparov,1999.0,½–½,28.0,Wijk aan Zee,D49 Semi-Slav Defense
Kasparov,Kramnik,1999.0,½–½,20.0,Linares,E34 Nimzo-Indian Defence
Kramnik,Kasparov,1999.0,½–½,35.0,Linares,D88 Grünfeld Defence
Kramnik,Kasparov,2000.0,½–½,37.0,Wijk aan Zee,D85 Grünfeld Defence
Kasparov,Kramnik,2000.0,½–½,21.0,Linares,C42 Petrov's Defence
Kramnik,Kasparov,2000.0,½–½,41.0,Linares,D23 Queen's Gambit
Kasparov,Kramnik,2000.0,½–½,25.0,London (1),C67 Ruy Lopez
Kramnik,Kasparov,2000.0,1–0,40.0,London (2),D85 Grünfeld Defence
Kasparov,Kramnik,2000.0,½–½,53.0,London (3),C67 Ruy Lopez
Kramnik,Kasparov,2000.0,½–½,74.0,London (4),D27 Queen's Gambit
Kasparov,Kramnik,2000.0,½–½,24.0,London (5),A34 English Opening
Kramnik,Kasparov,2000.0,½–½,66.0,London (6),D27 Queen's Gambit
Kasparov,Kramnik,2000.0,½–½,11.0,London (7),A32 English Opening
Kramnik,Kasparov,2000.0,½–½,38.0,London (8),E32 Nimzo-Indian Defence
Kasparov,Kramnik,2000.0,½–½,33.0,London (9),C67 Ruy Lopez
Kramnik,Kasparov,2000.0,1–0,25.0,London (10),E54 Nimzo-Indian Defence
Kasparov,Kramnik,2000.0,½–½,41.0,London (11),C78 Ruy Lopez
Kramnik,Kasparov,2000.0,½–½,33.0,London (12),E55 Nimzo-Indian Defence
Kasparov,Kramnik,2000.0,½–½,14.0,London (13),C67 Ruy Lopez
Kramnik,Kasparov,2000.0,½–½,57.0,London (14),A30 English Opening
Kasparov,Kramnik,2000.0,½–½,38.0,London (15),E05 Catalan Opening
Kasparov,Kramnik,2001.0,½–½,46.0,Wijk aan Zee,C67 Ruy Lopez
Kramnik,Kasparov,2001.0,½–½,30.0,Astana,D85 Grünfeld Defence
Kasparov,Kramnik,2001.0,1–0,46.0,Astana,C67 Ruy Lopez
Kramnik,Kasparov,2001.0,½–½,18.0,Botvinnik Memorial,D27 Queen's Gambit
Kasparov,Kramnik,2001.0,½–½,72.0,Botvinnik Memorial,B41 Sicilian Defence
Kramnik,Kasparov,2001.0,½–½,21.0,Botvinnik Memorial,D58 Queen's Gambit
Kasparov,Kramnik,2001.0,½–½,19.0,Botvinnik Memorial,C80 Ruy Lopez
Kramnik,Kasparov,2003.0,½–½,18.0,Linares,D27 Queen's Gambit
Kasparov,Kramnik,2003.0,½–½,33.0,Linares,C88 Ruy Lopez
Kasparov,Kramnik,2004.0,½–½,44.0,Linares,E12 Queen's Indian Defence
Kramnik,Kasparov,2004.0,½–½,17.0,Linares,D27 Queen's Gambit
