Player,Birth Date,Weight,Height,Position,Current Club
Ardo Kreek,"August 7, 1986 (age27)",96.0,203.0,Middle blocker,Paris Volley
Kert Toobal,"June 3, 1979 (age34)",78.0,189.0,Setter,Sivas 4 Eylül
Martti Juhkami,"June 6, 1988 (age25)",96.0,196.0,Spiker,TV Bühl
Argo Meresaar,"January 13, 1980 (age34)",107.0,206.0,Opposite,Bigbank Tartu
Kusti Nõlvak,"November 6, 1991 (age22)",81.0,186.0,Setter,TTÜ VK
Robert Täht,"August 15, 1993 (age20)",80.0,190.0,Spiker,Bigbank Tartu
Oliver Venno,"May 23, 1990 (age23)",105.0,210.0,Opposite,Rennes Volley 35
Rait Rikberg,"August 30, 1982 (age31)",80.0,174.0,Libero,Bigbank Tartu
Edgar Järvekülg,"June 12, 1988 (age25)",77.0,186.0,Setter,Pärnu VK
Siim Ennemuist,"December 5, 1989 (age24)",89.0,196.0,Middle blocker,TTÜ VK
Jaanus Nõmmsalu,"January 19, 1981 (age33)",94.0,200.0,Spiker,TTÜ VK
Andri Aganits,"September 7, 1993 (age20)",99.0,207.0,Middle Blocker,TV Bühl
