Heat,Lane,Name,Country,Mark
1.0,6.0,Dmitriy Bogdanov,Russia,1:48.38
1.0,2.0,Fabiano Peçanha,Brazil,1:49.03 PB
1.0,4.0,Abdoulaye Wagne,Senegal,1:49.07 PB
1.0,5.0,Jozef Repcik,Slovakia,1:49.15
1.0,3.0,Michael Blackwood,Jamaica,1:52.69
2.0,3.0,Yusuf Saad Kamel,Bahrain,1:48.71
2.0,5.0,Abraham Chepkirwok,Uganda,1:48.80
2.0,6.0,Dmitrijs Milkevics,Latvia,1:49.10
2.0,4.0,Mattias Claesson,Sweden,1:49.12
2.0,2.0,Fadrique Iglesias,Bolivia,1:50.55
3.0,6.0,Mbulaeni Mulaudzi,South Africa,1:50.86
3.0,3.0,Manuel Olmedo,Spain,1:51.07
3.0,4.0,Jakub Holuša,Czech Republic,1:51.09
3.0,5.0,Damien Moss,United Kingdom,1:51.39
3.0,2.0,Eduard Villanueva,Venezuela,1:51.83
4.0,5.0,Nick Symmonds,United States,1:49.30
4.0,4.0,Lukas Rifeser,Italy,1:49.51
4.0,1.0,Moise Joseph,Haiti,1:49.70 SB
4.0,3.0,Aldwyn Sappleton,Jamaica,1:51.24
4.0,6.0,Richard Kiplagat,Kenya,DSQ
4.0,2.0,Lamine Bangoura,Guinea,DNF
5.0,4.0,Robert Lathouwers,Netherlands,1:49.32
5.0,5.0,Khadevis Robinson,United States,1:49.33
5.0,3.0,Amine Laalou,Morocco,1:49.41
5.0,6.0,Yuriy Koldin,Russia,1:49.60
5.0,2.0,Deon Bascom,Guyana,1:55.88
5.0,1.0,Florian Hilti,Liechtenstein,1:59.91 SB
6.0,1.0,Abubaker Kaki Khamis,Sudan,1:47.80
6.0,6.0,Eugenio Barrios,Spain,1:48.70
6.0,3.0,Richard Hill,United Kingdom,1:49.06
6.0,4.0,Ehsan Mohajer Shojaei,Iran,1:49.14
6.0,2.0,Dávid Takács,Hungary,1:49.79 SB
