Year,Class,Team,Points,Rank,Wins
1968.0,500cc,Matchless,0.0,–,0.0
1969.0,350cc,AJS,0.0,–,0.0
1969.0,500cc,Metisse,3.0,46th,0.0
1970.0,500cc,Matchless,8.0,23rd,0.0
1971.0,350cc,AJS,16.0,13th,0.0
1971.0,500cc,AJS,0.0,–,0.0
1972.0,250cc,Yamaha,10.0,18th,0.0
1972.0,350cc,Honda,0.0,–,0.0
1972.0,500cc,Matchless,0.0,–,0.0
1973.0,250cc,Yamaha,12.0,17th,0.0
1973.0,350cc,Yamaha,10.0,20th,0.0
1973.0,500cc,Matchless,0.0,–,0.0
1974.0,250cc,Yamaha,2.0,38th,0.0
1974.0,350cc,Yamaha,7.0,29th,0.0
1974.0,500cc,Yamaha,18.0,11th,0.0
1975.0,250cc,Yamaha,15.0,14th,0.0
1975.0,350cc,Yamaha,1.0,47th,0.0
1975.0,500cc,Yamaha,32.0,5th,0.0
1976.0,500cc,Suzuki,24.0,9th,1.0
1977.0,350cc,Yamaha,10.0,22nd,0.0
1977.0,500cc,Suzuki,4.0,26th,0.0
1978.0,500cc,Suzuki,0.0,–,0.0
