Heat,Lane,Name,Country,Mark
1.0,5.0,Olesya Zykina,Russia,51.75
1.0,3.0,Antonina Yefremova,Ukraine,51.79 PB
1.0,6.0,Moushaumi Robinson,United States,51.85 PB
1.0,1.0,Racheal Nachula,Zambia,53.30 NR
1.0,2.0,Makelesi Batimala,Fiji,54.23
1.0,4.0,Christy Ekpukhon Ihunaeqbo,Nigeria,DNS
2.0,6.0,Natalya Nazarova,Russia,51.62
2.0,3.0,Shareese Woods,United States,51.87 PB
2.0,4.0,Angela Morosanu,Romania,52.83 SB
2.0,2.0,Zuzana Hejnová,Czech Republic,53.16
2.0,5.0,Amantle Montsho,Botswana,53.21
2.0,1.0,Nataliya Pyhyda,Ukraine,53.33
