Week,Date,Opponent,Result,Attendance
1.0,"September 11, 1965",Denver Broncos,W 34–31,27022.0
2.0,"September 19, 1965",at Oakland Raiders,W 17–6,21406.0
3.0,"September 26, 1965",Kansas City Chiefs,T 10–10,28126.0
4.0,"October 3, 1965",Houston Oilers,W 31–14,28190.0
5.0,"October 10, 1965",at Buffalo Bills,W 34–3,45260.0
6.0,"October 17, 1965",at Boston Patriots,T 13–13,20924.0
7.0,"October 23, 1965",at New York Jets,W 34–9,60679.0
8.0,"October 31, 1965",Boston Patriots,L 22–6,33366.0
9.0,"November 7, 1965",at Denver Broncos,W 35–21,33073.0
10.0,"November 14, 1965",at Kansas City Chiefs,L 31–7,21968.0
11.0,"November 25, 1965",Buffalo Bills,T 20–20,27473.0
12.0,"December 4, 1965",New York Jets,W 38–7,32169.0
13.0,"December 12, 1965",at Houston Oilers,W 37–26,24120.0
14.0,"December 19, 1965",Oakland Raiders,W 24–14,26056.0
