Pick,Player,Country of origin*,PBA team,College
1.0,Willie Miller *,Philippines,Red Bull Thunder,Letran
2.0,Mike Hrabak,United States,Shell Turbo Chargers,Central Arizona
3.0,Mark Caguioa *,Philippines,Barangay Ginebra Kings,Glendale
4.0,Gilbert Demape,Philippines,Mobiline Phone Pals,Cebu tech
5.0,John Arigo #,United States,Alaska Aces,North Florida
6.0,Francis Adriano,Philippines,Sta. Lucia Realtors,Far Eastern / PSBA
7.0,Norman Gonzales,Philippines,Mobiline Phone Pals,San Beda
8.0,Marvin Ortiguerra,Philippines,Sta. Lucia Realtors,Santo Tomas
9.0,Roger Yap *,Philippines,Purefoods Tender Juicy Hotdogs,San Jose
10.0,Joey Mente,Philippines,San Miguel Beermen,Lyceum
