Skip (Club),W,L,PF,PA,Ends Won,Ends Lost,Blank Ends,Stolen Ends
Joe Scharf (Fort William),9.0,2.0,72.0,50.0,40.0,34.0,24.0,11.0
Brad Jacobs (Soo C.A),9.0,2.0,71.0,36.0,40.0,29.0,22.0,12.0
Mike Jakubo (Copper Cliff),7.0,4.0,65.0,52.0,42.0,38.0,18.0,12.0
Mike Assad (Fort William),7.0,4.0,80.0,62.0,52.0,45.0,9.0,15.0
Mike Pozihun (Port Arthur),7.0,4.0,72.0,53.0,49.0,38.0,13.0,14.0
John Salo (Geraldton),6.0,5.0,57.0,65.0,45.0,39.0,15.0,16.0
Bryan Burgess (Fort William),5.0,6.0,68.0,73.0,42.0,46.0,18.0,7.0
Jeff Currie (Port Arthur),5.0,6.0,64.0,68.0,43.0,47.0,15.0,11.0
Robbie Gordon (Sudbury),4.0,7.0,59.0,65.0,42.0,46.0,16.0,10.0
Tim Nordin (Stratton),3.0,8.0,41.0,75.0,30.0,52.0,17.0,10.0
David MacInnes (Englehart),2.0,9.0,51.0,72.0,35.0,40.0,16.0,8.0
