Round,Player,Position,Nationality,College/Junior/Club Team (League)
2.0,Troy Mallette,LW,Canada,Sault Ste. Marie Greyhounds ( OHL )
2.0,Murray Duval,D,Canada,Spokane Chiefs ( WHL )
4.0,Tony Amonte,RW,United States,Thayer Academy (Massachusetts)
5.0,Martin Bergeron,C,Canada,Drummondville Voltigeurs ( QMJHL )
6.0,Dennis Vial,D,Canada,Hamilton Steelhawks (OHL)
7.0,Mike Rosati,G,Canada,Hamilton Steelhawks (OHL)
8.0,Eric Couvrette,LW,Canada,Saint-Jean Castors (QMJHL)
10.0,Paul Cain,C,Canada,Cornwall Royals (OHL)
10.0,Eric Fenton,RW,United States,N. Yarmouth Academy (Maine)
11.0,Peter Fiorentino,D,Canada,Sault Ste. Marie Greyhounds (OHL)
12.0,Keith Slifstein,RW,United States,Choate Academy (Connecticut)
