Rank,Heat,Athlete,Country,Time
1.0,1.0,Shelly-Ann Fraser,Jamaica,11.0
2.0,2.0,Kerron Stewart,Jamaica,11.05
3.0,1.0,Muna Lee,United States,11.06
4.0,1.0,Lauryn Williams,United States,11.1
5.0,1.0,Sherone Simpson,Jamaica,11.11
6.0,2.0,Torri Edwards,United States,11.18
7.0,2.0,Jeanette Kwakye,Great Britain,11.19
8.0,2.0,Debbie Ferguson,Bahamas,11.22
8.0,1.0,Chandra Sturrup,Bahamas,11.22
10.0,2.0,Yulia Nestsiarenka,Belarus,11.26
11.0,2.0,Kim Gevaert,Belgium,11.3
12.0,2.0,Yevgeniya Polyakova,Russia,11.38
13.0,2.0,Oludamola Osayomi,Nigeria,11.44
14.0,1.0,Lina Grincikaite,Lithuania,11.5
15.0,1.0,Ivet Lalova,Bulgaria,11.51
15.0,1.0,Vida Anim,Ghana,11.51
