Res.,Record,Opponent,Method,Event,Round,Location
Loss,10-6,Tiawan Howard,Decision (split),CES MMA VI: Nowhere To Hide,3.0,"Lincoln, Rhode Island , United States"
Loss,10-5,Anthony Pettis,Submission (triangle choke),WEC 48,2.0,"Sacramento, California , United States"
Win,10-4,Greg McIntyre,TKO (punches),WEC 39,1.0,"Corpus Christi, Texas , United States"
Loss,9-4,Bart Palaszewski,TKO (punches),WEC 37,2.0,"Las Vegas, Nevada , United States"
Loss,9-3,Ed Ratcliff,TKO (punches),WEC 31,2.0,"Las Vegas, Nevada , United States"
Win,9-2,Josh Smith,Decision (majority),WEC 28,3.0,"Las Vegas, Nevada , United States"
Win,8-2,Olaf Alfonso,TKO (referee stoppage),WEC 25,2.0,"Las Vegas, Nevada , United States"
Win,7-2,Thomas Denny,Decision (unanimous),WEC 23,3.0,"Lemoore, California , United States"
Win,6-2,Josh Lydell,Submission ( rear naked choke ),RF 13: New Hampshire,1.0,"Concord, New Hampshire , United States"
Loss,5-2,Jason Von Flue,Technical Submission (shoulder choke),UFC Ultimate Fight Night 3,3.0,"Las Vegas, Nevada , United States"
Loss,5-1,Kenny Florian,TKO (cut),UFC Ultimate Fight Night,2.0,"Las Vegas, Nevada , United States"
Win,5-0,Josh Rafferty,TKO (strikes),The Ultimate Fighter 1 Finale,1.0,"Las Vegas, Nevada , United States"
Win,4-0,Mike Littlefield,Decision (unanimous),Mass Destruction 15,3.0,"Boston, Massachusetts , United States"
Win,3-0,Ted Govola,KO,Mass Destruction 13,1.0,"Taunton, Massachusetts , United States"
Win,2-0,Mike Varner,Decision (unanimous),Mass Destruction 11,3.0,"Taunton, Massachusetts , United States"
Win,1-0,Julio Colon,TKO (corner stoppage),Mass Destruction 10,1.0,"Taunton, Massachusetts , United States"
