Irrigation District,Juntas de Regantes (WUB),Asociaciones (WUA) (#),Tareas (15.9 tareas = 1 ha),Users (#)
Alto Yaque del Norte,Ulises Francisco Espaillat,10.0,392336.0,5827.0
Alto Yaque del Norte,Monsieur Bogaert,5.0,211040.0,2416.0
Alto Yaque del Norte,Mao,8.0,171360.0,1775.0
Bajo Yaque del Norte,General Fernando Valerio,7.0,374848.0,4014.0
Bajo Yaque del Norte,Horacio Vasquez,5.0,180416.0,2146.0
Bajo Yaque del Norte,Dajabon,4.0,49744.0,1090.0
Yuna-Camu,Camu,6.0,91840.0,1494.0
Yuna-Camu,Rincon,3.0,133920.0,1421.0
Yuna-Camu,Hatillo,5.0,195152.0,1598.0
Yuna-Camu,Yuna,6.0,61548.0,1286.0
Yuna-Camu,Constanza,6.0,44660.0,1575.0
Yuna-Camu,Jarabacoa,2.0,9056.0,415.0
Bajo Yuna,Aglipo,8.0,124128.0,3152.0
Bajo Yuna,Boba,5.0,47041.0,2461.0
Bajo Yuna,Aglipo II,4.0,83520.0,1541.0
Bajo Yuna,Limon del Yuna,4.0,123344.0,1394.0
Bajo Yuna,Villa Riva,2.0,78160.0,3160.0
Bajo Yuna,Nizao-Valdiviesa,12.0,299349.0,4495.0
Del Este,Nisibon-Yuma,5.0,28500.0,422.0
Del Este,General Gregorio Luperon,4.0,37680.0,581.0
Del Este,La Esperanza,4.0,142576.0,1008.0
Del Este,Independent Association,1.0,21733.0,303.0
Azua Valley,Ysura,11.0,331102.0,8430.0
Azua Valley,Padre las Casas,5.0,42000.0,786.0
San Juan Valley,Valle de San Juan,6.0,256352.0,6180.0
San Juan Valley,Independent Association,1.0,63136.0,800.0
San Juan Valley,Independent Association,1.0,35857.0,857.0
Enriquillo,Neyba,9.0,267808.0,4733.0
Enriquillo,Tamayo,10.0,353184.0,4012.0
Yaque del Sur,Pedernales,4.0,10064.0,241.0
