Goal,Date,Venue,Result,Competition
1.0,9 March 1993,Honduras,2–0,1993 UNCAF Nations Cup
2.0,31 March 1993,Medellín,1–3,Friendly
3.0,23 June 1993,San José,3–1,Friendly
4.0,1 December 1995,San Salvador,2–1,1995 UNCAF Nations Cup
5.0,7 December 1995,San Salvador,1–1,1995 UNCAF Nations Cup
6.0,10 December 1995,San Salvador,1–2,1995 UNCAF Nations Cup
7.0,23 April 1997,Guatemala City,4–0,1997 UNCAF Nations Cup
8.0,23 April 1997,Guatemala City,4–0,1997 UNCAF Nations Cup
9.0,23 April 1997,Guatemala City,4–0,1997 UNCAF Nations Cup
10.0,27 April 1997,Guatemala City,1–1,1997 UNCAF Nations Cup
11.0,24 February 1999,San José,9–0,Friendly
12.0,24 February 1999,San José,9–0,Friendly
13.0,17 March 1999,San José,7–0,1999 UNCAF Nations Cup
14.0,17 March 1999,San José,7–0,1999 UNCAF Nations Cup
15.0,24 March 1999,San José,1–0,1999 UNCAF Nations Cup
16.0,26 March 1999,San José,1–2,1999 UNCAF Nations Cup
17.0,28 March 1999,San José,4–0,1999 UNCAF Nations Cup
18.0,18 August 1999,Montevideo,4–5,Friendly
19.0,1 July 2000,San José,5–1,Friendly
20.0,1 July 2000,San José,5–1,Friendly
21.0,1 July 2000,San José,5–1,Friendly
22.0,23 July 2000,San José,2–1,World Cup qualifier
23.0,3 September 2000,San José,3–0,World Cup qualifier
24.0,15 November 2000,Mazatenango,1–2,World Cup qualifier
25.0,6 January 2001,Miami,5–2,World Cup qualifier
26.0,6 January 2001,Miami,5–2,World Cup qualifier
27.0,28 February 2001,San José,2–2,World Cup qualifier
28.0,19 April 2001,Alajuela,2–2,Friendly
29.0,23 May 2001,San Pedro Sula,4–0,2001 UNCAF Nations Cup
30.0,23 May 2001,San Pedro Sula,4–0,2001 UNCAF Nations Cup
31.0,23 May 2001,San Pedro Sula,4–0,2001 UNCAF Nations Cup
32.0,16 June 2001,Mexico DF,2–1,World Cup qualifier
33.0,1 July 2001,Tegucigalpa,3–2,World Cup qualifier
34.0,19 July 2001,Medellín,4–0,2001 Copa América
35.0,5 September 2001,San José,2–0,World Cup qualifier
36.0,5 September 2001,San José,2–0,World Cup qualifier
37.0,17 January 2002,Miami,2–0,2002 CONCACAF Gold Cup
38.0,19 January 2002,Miami,1–1,2002 CONCACAF Gold Cup
39.0,8 June 2003,San José,1–0,Friendly
40.0,26 July 2003,Miami,2–3,2003 CONCACAF Gold Cup
41.0,26 July 2003,Miami,2–3,2003 CONCACAF Gold Cup
42.0,9 October 2004,San José,5–0,World Cup qualifier
43.0,4 February 2007,Alajuela,4–0,Friendly
44.0,9 February 2007,San Salvador,3–1,2007 UNCAF Nations Cup
45.0,9 February 2007,San Salvador,3–1,2007 UNCAF Nations Cup
46.0,16 February 2007,San Salvador,2–0,2007 UNCAF Nations Cup
47.0,28 March 2007,Talca,1–1,Friendly
