Round,Pick #,Player,Position,College
1.0,1.0,Tom Cousineau,Linebacker,Ohio State
1.0,5.0,Jerry Butler,Wide receiver,Clemson
2.0,32.0,Fred Smerlas,Nose tackle,Boston College
2.0,51.0,Jim Haslett,Linebacker,Indiana (PA)
3.0,62.0,Jon Borchardt,Guard,Montana St.
4.0,83.0,Ken E. Johnson,Defensive end,Knoxville
4.0,87.0,Jeff Nixon,Defensive back,Richmond
5.0,114.0,Rod Kush,Defensive back,Nebraska-Omaha
5.0,116.0,Dan Manucci,Quarterback,Kansas St.
6.0,141.0,Mike Burrow,Guard,Auburn
7.0,170.0,Tom Mullady,Tight end,Rhodes
9.0,226.0,Kevin Baker,Defensive end,William Penn
10.0,253.0,Dave Marler,Quarterback,Mississippi St.
11.0,279.0,Paul Lawler,Defensive back,Colgate
12.0,308.0,Mike Harris,Running back,Arizona St.
