Rank,Heat,Cyclist,Nation,Result
1.0,9.0,Bradley Wiggins,Great Britain,4:15.031
2.0,8.0,Hayden Roulston,New Zealand,4:18.990
3.0,9.0,Alexei Markov,Russia,4:21.498
4.0,6.0,Volodymyr Dyudya,Ukraine,4:21.530
5.0,2.0,Steven Burke,Great Britain,4:22.260
6.0,3.0,Antonio Tauler,Spain,4:22.462
7.0,6.0,Taylor Phinney,United States,4:22.860
8.0,5.0,Alexander Serov,Russia,4:23.732
9.0,7.0,Bradley McGee,Australia,4:26.084
10.0,5.0,Sergi Escobar,Spain,4:26.102
11.0,7.0,David O'Loughlin,Ireland,4:26.102
12.0,1.0,Brett Lancaster,Australia,4:26.139
13.0,3.0,Jens Mouris,Netherlands,4:27.445
14.0,4.0,Vitaliy Popkov,Ukraine,4:30.321
15.0,1.0,Fabien Sanchez,France,4:33.100
16.0,2.0,Carlos Alzate,Colombia,4:35.154
17.0,4.0,Alexandr Pliuschin,Moldova,4:35.438
18.0,8.0,Jenning Huizenga,Netherlands,4:37.097
