Nat.,Name,Since,Goals,Ends,Transfer fee
ESP,V. Valdés ( VC3 ),1998.0,0.0,2010.0,Youth system
ITA,Zambrotta,2006.0,3.0,2010.0,€14M
ESP,Puyol ( captain ),1992.0,6.0,2010.0,Youth system
ARG,Milito,2007.0,1.0,2011.0,€17M
FRA,Abidal,2007.0,0.0,2011.0,€15M
ESP,Xavi ( VC2 ),1994.0,28.0,2010.0,Youth system
CIV,Touré Yaya,2007.0,2.0,2011.0,€9M
ESP,A. Iniesta,2002.0,17.0,2010.0,Youth system
ARG,Messi,2004.0,40.0,2014.0,Youth system
CMR,Eto'o,2004.0,89.0,2010.0,€24M
FRA,Henry,2007.0,14.0,2011.0,€24M
ESP,Jorquera,2001.0,0.0,2008.0,Youth system
ESP,Oleguer,2002.0,1.0,2010.0,Youth system
FRA,Thuram,2006.0,0.0,2008.0,€5M
MEX,Márquez,2003.0,8.0,2010.0,€5M
BRA,Sylvinho,2004.0,3.0,2008.0,€2M
BRA,Edmílson,2004.0,0.0,2008.0,€10M
POR BRA,Deco,2004.0,19.0,2008.0,€15M
BRA,Ronaldinho ( VC1 ),2003.0,89.0,2010.0,€30M
ISL,Guðjohnsen,2006.0,13.0,2009.0,€12M
ESP,Bojan,2007.0,10.0,2009.0,Youth system
MEX,Giovani,2007.0,1.0,2009.0,Youth system
ESP,Ezquerro,2005.0,7.0,2008.0,Free
ESP,Pinto,2008.0,0.0,2008.0,loan
