Season,Premier,Runner Up,Score,Venue,Attendance,Premiership
1984.0,Essendon,Sydney Swans,13.11 (89) – 5.8 (38),Waverley Park,30824.0,Night series
1984.0,Essendon,Hawthorn,14.21 (105) – 12.9 (81),MCG,92685.0,VFL Grand Final
1986.0,Hawthorn,Carlton,9.12 (66) – 5.6 (36),Waverley Park,19627.0,Night series
1986.0,Hawthorn,Carlton,16.14 (110) – 9.14 (68),MCG,101861.0,VFL Grand Final
1988.0,Hawthorn,Geelong,10.10 (70) – 9.13 (67),Waverley Park,35803.0,Pre-Season Cup
1988.0,Hawthorn,Melbourne,22.20 (152) – 6.20 (56),MCG,93754.0,VFL Grand Final
1993.0,Essendon,Richmond,14.18 (102) – 11.13 (79),Waverley Park,75533.0,Pre-Season Cup
1993.0,Essendon,Carlton Carlton,20.13 (133) – 13.11 (89),MCG,96862.0,AFL Grand Final
2000.0,Essendon,North Melbourne,16.21 (117) – 11.10 (76),MCG,56720.0,Pre-Season Cup
2000.0,Essendon,Melbourne,19.21 (135) – 11.9 (75),MCG,96249.0,AFL Grand Final
2009.0,Geelong,Collingwood,0.18.19 (127) – 1.6.6 (51),Etihad Stadium,37277.0,Pre-Season Cup
2009.0,Geelong,St Kilda,12.8 (80) – 9.14 (68),MCG,99251.0,AFL Grand Final
