Season,Series,Team Name,Races,Poles,Wins,Podiums,F/Laps,Points,Final Placing
2008.0,Formula 3 Sudamericana,Razia Sports,6.0,0.0,0.0,0.0,0.0,0,21st
2009.0,Formula 3 Sudamericana,Razia Sports,18.0,0.0,0.0,8.0,1.0,75,5th
2010.0,Formula 3 Brazil Open,Bassan Motorsport,1.0,0.0,0.0,1.0,0.0,N/A,3rd
2010.0,Formula 3 Sudamericana,Bassan Motorsport,24.0,7.0,5.0,16.0,4.0,351,2nd
2010.0,British Formula Three,CF Racing with Manor Motorsport,3.0,0.0,0.0,0.0,0.0,0,21st
2010.0,Formula Renault UK,CRS Racing,2.0,0.0,0.0,0.0,0.0,10,31st
2011.0,Formula 3 Brazil Open,Bassan Motorsport,1.0,0.0,0.0,1.0,0.0,N/A,2nd
2011.0,British Formula Three,T-Sport,30.0,0.0,0.0,0.0,0.0,-36,26th
2011.0,European F3 Open Championship,Hache Team,10.0,0.0,1.0,3.0,1.0,44,9th
2012.0,Formula Renault 3.5 Series,Pons Racing,17.0,0.0,0.0,0.0,0.0,0,29th
