Season,Series,Team,Races,Wins,Poles,Position
2005.0,Formula Renault 2.0 Italia,Cram Competition,17.0,6.0,2.0,3rd
2005.0,Eurocup Formula Renault 2.0,Cram Competition,2.0,0.0,0.0,NC†
2005.0,Formula Renault 2.0 UK,Team AKA,2.0,0.0,0.0,28th
2005.0,Formula Renault 3.5 Series,Cram Competition,2.0,0.0,0.0,39th
2006.0,Formula Renault 3.5 Series,Cram Competition,17.0,1.0,0.0,8th
2007.0,Formula Renault 3.5 Series,Prema Powerteam,17.0,2.0,0.0,2nd
2008.0,GP2 Series,Barwa International Campos Team,6.0,0.0,0.0,15th
2008.0,GP2 Asia Series,Barwa International Campos Team,6.0,0.0,0.0,24th
2008.0,GP2 Asia Series,Durango,2.0,0.0,0.0,24th
2009.0,Euroseries 3000,Fisichella Motor Sport,2.0,1.0,0.0,6th
