Position,Club,Games played,Wins,Draws,Loses,Goals scored,Goals conceded,Points
1.0,Geležinis Vilkas Vilnius,26,19.0,3.0,4.0,61.0,15.0,60.0
2.0,Alytis-2 Alytus,26,18.0,5.0,3.0,78.0,22.0,59.0
3.0,Lifosa Kėdainiai,26,17.0,3.0,6.0,52.0,36.0,54.0
4.0,SC-Savingė Kaišiadorys,26,17.0,3.0,6.0,59.0,35.0,54.0
5.0,Vėtra-89 Vilnius,26,16.0,5.0,5.0,68.0,20.0,53.0
6.0,Vidzgiris Alytus,26,15.0,4.0,7.0,76.0,41.0,49.0
7.0,Visas Labas Kaunas,26,13.0,4.0,9.0,60.0,46.0,43.0
8.0,FK Rūdiškės,26,8.0,6.0,12.0,32.0,37.0,30.0
9.0,FK Prienai,26,8.0,3.0,15.0,30.0,59.0,27.0
10.0,Sveikata Kybartai,26,8.0,1.0,17.0,54.0,81.0,25.0
11.0,FM-Spyris Kaunas,26,6.0,7.0,13.0,40.0,43.0,25.0
12.0,Utenis Utena,26,8.0,1.0,16.0,52.0,94.0,25.0
13.0,Nevėžis-2 Kėdainiai,26,4.0,2.0,20.0,23.0,82.0,14.0
14.0,VPU Šviesa Vilnius,14 (only first round),2.0,1.0,11.0,22.0,47.0,7.0
15.0,FK Kalvarija,14 (only first round),0.0,0.0,14.0,11.0,60.0,0.0
