Rank,Name,Location,Height m / ft,Floors
1,Turning Torso,Malmö,190 / 623,57.0
2,Scandic Victoria Tower,Stockholm,120 / 406,32.0
3,Kista Science Tower,Stockholm,117 / 406,30.0
4,Kista Tower,Stockholm,110 /,30.0
5,Hotel Gothia Towers,Göteborg,100 /,29.0
6,Point Hyllie,Malmö,95 /,27.0
7,DN-skrapan,Stockholm,84 / 276,27.0
8,Söder Torn,Stockholm,83 / 272,24.0
9,Kronprinsen,Malmö,82m,27.0
10,Skrapan,Västerås,"81,4m",26.0
11,Skanskaskrapan,Göteborg,"81,3m",23.0
12,Skatteskrapan,Stockholm,81m,26.0
13,Folksamhuset,Stockholm,79m,24.0
14,Ideon Gateway,Lund,74m,19.0
15,Wenner-Gren Center,Stockholm,73.7m,25.0
16,Trade Center,Halmstad,"73,5m",24.0
17=,Gothia West Tower,Göteborg,72m,23.0
18=,Rica Talk Hotel,Stockholm,72m,19.0
19,Scandic Infra City,Upplands Väsby,70m,24.0
20,Forum Nacka,Nacka,"69,5m",18.0
21,Scandic Triangeln,Malmö,69m,22.0
22,Västerås Stadshus,Västerås,65m,17.0
23–16,Hötorgsskraporna 1–4,Stockholm,72m,19.0
24,Kockumshuset,Malmö,65m,16.0
25,Tornet,Linköping,64m,19.0
26,Gothia East Tower,Göteborg,63m,18.0
27,Slagthuset,Malmö,63m,13.0
28,Scandic Hotel Ariadne,Stockholm,62m,17.0
29,Hötorgsskrapan 5,Stockholm,61m,19.0
30,Bonnierhuset,Stockholm,61m,18.0
31,Södra Kungstornet,Stockholm,61m,17.0
32,Norra Kungstornet,Stockholm,60m,16.0
33,Gårda Business Center,Göteborg,"59,4m",17.0
34,Stockholm Globe City,Stockholm,58m,16.0
