Year,Wins,Losses,Percentage,Finish
1897.0,49.0,76.0,0.392,7th
1898.0,68.0,48.0,0.586,1st
1899.0,62.0,51.0,0.549,2nd
1900.0,54.0,72.0,0.429,7th
1901.0,65.0,67.0,0.492,6th
1902.0,59.0,77.0,0.434,6th
1903.0,37.0,95.0,0.28,7th
1904.0,67.0,62.0,0.519,5th
1905.0,56.0,80.0,0.412,6th
1906.0,57.0,83.0,0.407,7th
1907.0,46.0,85.0,0.351,8th
1908.0,64.0,75.0,0.461,5th
1909.0,68.0,83.0,0.45,6th
1910.0,71.0,80.0,0.47,5th
1911.0,72.0,80.0,0.474,5th
1912.0,71.0,81.0,0.467,6th
1913.0,74.0,77.0,0.49,5th
1914.0,60.0,89.0,0.403,7th
1915.0,67.0,70.0,0.489,5th
1916.0,75.0,64.0,0.539,3rd
1917.0,56.0,94.0,0.373,7th
1928.0,84.0,84.0,0.5,5th
1929.0,88.0,79.0,0.527,4th
1930.0,96.0,72.0,0.571,3rd
1931.0,85.0,80.0,0.515,4th
1932.0,90.0,78.0,0.536,4th
1933.0,81.0,84.0,0.49,6th
1934.0,73.0,77.0,0.487,6th
1935.0,92.0,62.0,0.597,1st
1936.0,71.0,81.0,0.467,6th
1937.0,82.0,67.0,0.55,2nd
1938.0,69.0,84.0,0.451,6th
1939.0,64.0,88.0,0.421,7th
1940.0,80.0,80.0,0.5,5th
1941.0,90.0,64.0,0.584,2nd
1942.0,82.0,71.0,0.536,2nd
1943.0,76.0,76.0,0.5,4th
1944.0,73.0,80.0,0.477,6th
1945.0,95.0,58.0,0.621,1st
1946.0,100.0,54.0,0.649,1st
1947.0,93.0,60.0,0.608,2nd
1948.0,94.0,59.0,0.614,1st
1949.0,84.0,70.0,0.545,3rd
1950.0,86.0,67.0,0.562,2nd
1951.0,95.0,59.0,0.617,1st
1952.0,95.0,56.0,0.629,1st
1953.0,89.0,63.0,586.0,2nd
1954.0,88.0,66.0,0.571,2nd
1955.0,95.0,59.0,0.617,1st
1956.0,80.0,72.0,0.526,4th
1957.0,68.0,86.0,0.442,8th
1958.0,90.0,63.0,0.588,1st
1959.0,72.0,82.0,0.468,6th
1960.0,62.0,92.0,0.403,8th
