Year,Men's singles,Women's singles,Men's doubles,Women's doubles,Mixed doubles
1986.0,Armand Jehle,Cornelia Marxer,Armand Jehle Markus Becker,Cornelia Marxer Astrid Wanger,Lothar Iser Astrid Wanger
1987.0,Armand Jehle,Cornelia Marxer,Armand Jehle Markus Becker,Cornelia Marxer Astrid Wanger,Lothar Iser Astrid Wanger
1988.0,Armand Jehle,Cornelia Marxer,Guenther Schaedler Mario Minder,Cornelia Marxer Astrid Wanger,Mario Minder Astrid Wanger
1989.0,Mario Minder,Astrid Wanger,Guenther Schaedler Mario Minder,Cornelia Marxer Astrid Wanger,Mario Minder Astrid Wanger
1990.0,Mario Minder,Myriam Eisensohn,Ernst Bolkart Roland Hilti,no competition,Mario Minder Astrid Wanger
1991.0,Armand Jehle,Astrid Eidenbenz,no competition,no competition,no competition
1992.0,Armand Jehle,Nadine Velten,Guenther Schaedler Thomas Fischer,Andrea Fischer Silvia Baur,Thomas Fischer Andrea Fischer
1993.0,Michel Baumgartner,Nadine Velten,no competition,no competition,no competition
1994.0,Gunther Schadler,Nadine Velten,Lothar Iser Edi Niedhart,Michaela Ritter Nadine Velten,Roger Jacquat Patrizia Wanger
1995.0,Andreas Radl,Claudia Jehle,Lothar Iser Ralf Iser,Karin Lehmann Birgit Oehri,Andreas Radl Karin Lehmann
1996.0,Guenther Schaedler,Astrid Eidenbenz,Andreas Radl Sandro Woodtli,Daniela Kressig Vreni Altherr,Sandro Woodtli Georgia Timmermann
1997.0,Armand Jehle,Anja Buechel,Kilian Pfister Roger Jacquat,Anja Buchel Michaela Ritter,Roger Jacquat Patrizia Wanger
1998.0,Armand Jehle,Astrid Eidenbenz,Kilian Pfister Frank Kamsma,no competition,no competition
1999.0,Guenther Schaedler,Bettina Kaiser,Kilian Pfister Frank Kamsma,Bettina Kaiser Claudia Jehle,Kilian Pfister Bettina Kaiser
2000.0,Kilian Pfister,Michaela Ritter,Kilian Pfister Frank Kamsma,Claudia Jehle Caroline Schneider,Kilian Pfister Caroline Schneider
2001.0,Armand Jehle,Michaela Ritter,Armand Jehle Bruno Staeheli,Claudia Jehle Caroline Schneider,Kilian Pfister Caroline Schneider
2002.0,Kilian Pfister,Claudia Jehle,Kilian Pfister Walter Sturm,Astrid Eidenbenz Claudia Jehle,Kilian Pfister Nadia Gartmann
2003.0,Andreas Radl,Michaela Ritter,Roland Hilti Zeno John,Michaela Ritter Doris DiMarzio,Zeno John Michaela Ritter
2004.0,Kilian Pfister,Daniela Kressig,Andreas Radl Kilian Pfister,Claudia Jehle Carolin Schneider,Walter Sturm Carolin Schneider
2005.0,Kilian Pfister,Daniela Litscher,Michael Litscher Roger Jacquat,Claudia Jehle Carolin Schneider,Kilian Pfister Doris DiMarzio
2006.0,Kilian Pfister,no competition,Roland Hilti Kilian Pfister,Claudia Jehle Carolin Schneider,Kilian Pfister Doris DiMarzio
2007.0,Kilian Pfister,no competition,Roland Hilti Kilian Pfister,no competition,Zeno John Carolin Schneider
2008.0,Kilian Pfister,Nadia Gartmann,Roland Hilti Kilian Pfister,Nadia Gartmann Patricia Vögel,Kilian Pfister Silvie Brouwer
2009.0,Roland Hilti,no competition,Armand Jehle Bruno Stäheli,no competition,Michael Litscher Nadia Gartmann
2010.0,Roland Hilti,no competition,Michael Litscher Stanley Wee,Heather Booth Patrizia Vögel,Stanley Wee Heather Booth
