Draw,Language,Artist,Song,English translation,Place,Points
1.0,French,Sherisse Laurence,""" L'amour de ma vie """,The love of my life,3.0,117.0
2.0,Croatian,Doris Dragović,""" Željo moja """,My desire,11.0,49.0
3.0,French,Cocktail Chic,""" Européennes """,European girls,17.0,13.0
4.0,Norwegian,Ketil Stokkan,""" Romeo """,—,12.0,44.0
5.0,English,Ryder,""" Runner in the Night """,—,7.0,72.0
6.0,Icelandic,ICY,""" Gleðibankinn """,The bank of fun,16.0,19.0
7.0,Dutch,Frizzle Sizzle,""" Alles heeft ritme """,Everything has rhythm,13.0,40.0
8.0,Turkish,Klips ve Onlar,""" Halley """,—,9.0,53.0
9.0,Spanish,Cadillac,""" Valentino """,—,10.0,51.0
10.0,French,Daniela Simmons,""" Pas pour moi """,Not for me,2.0,140.0
11.0,Hebrew,Moti Giladi & Sarai Tzuriel,""" Yavo Yom "" (יבוא יום)",A day will come,19.0,7.0
12.0,English,Luv Bug,""" You Can Count On Me """,—,4.0,96.0
13.0,French,Sandra Kim,""" J'aime la vie """,I love life,1.0,176.0
14.0,German,Ingrid Peters,""" Über die Brücke geh'n """,Crossing the bridge,8.0,62.0
15.0,Greek,Elpida,""" Tora Zo "" (Τώρα ζω)",Now I live,20.0,4.0
16.0,German,Timna Brauer,""" Die Zeit ist einsam """,Time is lonely,18.0,12.0
17.0,Swedish,Lasse Holm & Monica Törnell,""" E' de' det här du kallar kärlek? """,Is this what you call love?,5.0,78.0
18.0,Danish,Lise Haavik,""" Du er fuld af løgn """,You are full of lies,6.0,77.0
19.0,Finnish,Kari Kuivalainen,""" Never The End """,—,15.0,22.0
20.0,Portuguese,Dora,""" Não sejas mau para mim """,Don't be bad to me,14.0,28.0
