Year,Pick,Player,Position,College
2002.0,1st overall,David Carr,Quarterback,Fresno State
2003.0,3rd overall,Andre Johnson,Wide receiver,Miami (FL)
2004.0,10th overall,Dunta Robinson,Cornerback,South Carolina
2004.0,27th overall (from Tennessee),Jason Babin *,Defensive end,Western Michigan
2005.0,16th overall (from New Orleans),Travis Johnson,Defensive tackle,Florida State
2006.0,1st overall,Mario Williams,Defensive end,North Carolina State
2007.0,10th overall (from Atlanta),Amobi Okoye,Defensive tackle,Louisville
2008.0,26th overall (from Baltimore),Duane Brown,Offensive tackle,Virginia Tech
2009.0,15th overall,Brian Cushing,Linebacker,Southern California
2010.0,20th overall,Kareem Jackson,Cornerback,Alabama
2011.0,11th overall,J.J. Watt,Defensive end,Wisconsin
2012.0,26th overall,Whitney Mercilus,Defensive end,Illinois
2013.0,27th overall,DeAndre Hopkins,Wide receiver,Clemson
