Ensemble,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Arcadia High School,1.0,0.0,0.0,1.0
Avon High School,1.0,1.0,1.0,3.0
Ayala High School,1.0,1.0,1.0,3.0
Center Grove High School,2.0,1.0,1.0,4.0
Centerville High School,1.0,1.0,0.0,2.0
Choctawhatchee High School,0.0,0.0,1.0,1.0
Chino Hills High School,2.0,1.0,1.0,4.0
Claremont High School,0.0,0.0,1.0,1.0
Clovis West High School,1.0,0.0,0.0,1.0
Dartmouth High School,4.0,5.0,5.0,14.0
Father Ryan High School,0.0,0.0,2.0,2.0
Hatboro Horsham High School,1.0,0.0,0.0,1.0
John Overton High School,1.0,1.0,1.0,3.0
King Philip High School,1.0,3.0,0.0,4.0
Lincoln Way High School,1.0,2.0,0.0,3.0
Maumee High School,0.0,0.0,3.0,3.0
Mission Viejo High School,2.0,2.0,2.0,6.0
Northglenn High School,1.0,1.0,1.0,3.0
Ponderosa High School,0.0,2.0,1.0,3.0
