Rank,Rider,Team,Time,Speed
1.0,Michael Dunlop,Honda 250cc,19' 34.316,109.516 mph
2.0,Christian Elkin,Honda 250cc,+ 1.029,109.420 mph
3.0,John McGuinness,Honda 250cc,+ 1.763,109.352 mph
4.0,Paul Robinson,Honda 250cc,+ 22.725,107.437 mph
5.0,Andrew Neill,Honda 250cc,+ 24.543,107.274 mph
6.0,Davy Morgan,Honda 250cc,+ 24.614,107.268 mph
7.0,Denver Robb,Honda 250cc,+ 39.308,105.969 mph
8.0,Mark Lunney,Honda 250cc,+ 42.014,105.733 mph
9.0,Emlyn Hughes,Honda 250cc,+ 42.504,105.961 mph
10.0,Neil Richardson,Yamaha 250cc,+ 44.434,105.531 mph
