Category,Player,Team,Games played,Totals,Average
Points per game,James Yap,B-Meg Derby Ace Llamados,4.0,84,21.00
Rebounds per game,Dorian Pena,San Miguel Beermen,3.0,36,12.00
Assists per game,Roger Yap,B-Meg Derby Ace Llamados,3.0,16,5.33
Steals per game,Roger Yap,B-Meg Derby Ace Llamados,3.0,7,2.33
Blocks per game,Marc Pingris,B-Meg Derby Ace Llamados,4.0,4,1.00
Blocks per game,Danny Seigle,San Miguel Beermen,3.0,3,1.00
Blocks per game,Jay Washington,San Miguel Beermen,3.0,3,1.00
Field goal percentage,Olsen Racela,San Miguel Beermen,3.0,2-3,0.667
3-pt field goal percentage,Olsen Racela,San Miguel Beermen,3.0,2-3,0.667
Free throw percentage,Nino Canaleta,B-Meg Derby Ace Llamados,4.0,4-4,1.000
Minutes per game,Willie Miller,Barangay Ginebra Kings,3.0,110,36.67
