Rank,Name,Circulation per issue,Number of languages,Frequency,Publisher
1.0,The Watchtower,45944000.0,212.0,Monthly,Watchtower Bible and Tract Society
2.0,Awake!,44748000.0,99.0,Monthly,Watchtower Bible and Tract Society
3.0,AARP The Magazine,23721626.0,1.0,Semi-monthly,AARP
4.0,AARP Bulletin,23574328.0,1.0,Semi-monthly,AARP
5.0,ADAC Motorwelt,13643161.0,1.0,Monthly,ADAC
6.0,Game Informer,8100000.0,1.0,Monthly,Gamestop Corp.
7.0,Better Homes and Gardens,7600000.0,1.0,Monthly,Meredith Corporation
8.0,AutoPrimeurs,6010904.0,1.0,Monthly,Topline Publishing
9.0,TV Magazine,5854629.0,1.0,Monthly,Groupe Le Figaro
10.0,Reader's Digest,5500000.0,21.0,Monthly,The Reader's Digest Association
11.0,National Geographic,5000000.0,36.0,Monthly,National Geographic Society
12.0,Good Housekeeping,4300000.0,1.0,Monthly,Hearst Corporation
13.0,Family Circle,3800000.0,1.0,Monthly,Meredith Corporation
14.0,People,3500000.0,1.0,Weekly,Time Inc.
15.0,Version Fémina,3392403.0,1.0,Weekly,Hachette Filipacchi Médias
