Jurisdiction,Voted Yes,Percent Yes,Voted No,Percent No
Alberta,483275.0,39.8,731975.0,60.2
British Columbia,525188.0,31.8,1126761.0,68.2
Manitoba,198230.0,38.0,322971.0,62.0
New Brunswick,23010.0,61.7,145096.0,38.3
Newfoundland,133193.0,63.1,77881.0,36.9
Northwest Territories,14750.0,61.0,9416.0,39.0
Nova Scotia,218618.0,48.7,230182.0,51.3
Ontario,2410119.0,50.1,2397665.0,49.9
Prince Edward Island,48687.0,74.0,17124.0,26.0
Quebec,1710117.0,43.4,2232280.0,56.6
Saskatchewan,203361.0,44.6,252459.0,55.4
Yukon,5354.0,43.6,6922.0,56.4
