Week,Date,Opponent,Result,Attendance
1.0,"September 15, 1968",at Buffalo Bills,W 48–6,43057.0
2.0,"September 21, 1968",at Miami Dolphins,W 47–21,30021.0
3.0,"September 29, 1968",at Houston Oilers,W 24–15,46098.0
4.0,"October 6, 1968",Boston Patriots,W 41–10,44253.0
5.0,"October 13, 1968",San Diego Chargers,L 23–14,53257.0
6.0,"October 20, 1968",at Kansas City Chiefs,L 24–10,50015.0
7.0,"October 27, 1968",Cincinnati Bengals,W 31–10,37083.0
8.0,"November 3, 1968",Kansas City Chiefs,W 38–21,53357.0
9.0,"November 10, 1968",at Denver Broncos,W 43–7,50002.0
10.0,"November 17, 1968",New York Jets,W 43–32,53118.0
11.0,"November 24, 1968",at Cincinnati Bengals,W 34–0,27116.0
12.0,"November 28, 1968",Buffalo Bills,W 13–10,39883.0
13.0,"December 8, 1968",Denver Broncos,W 33–27,47754.0
14.0,"December 15, 1968",at San Diego Chargers,W 34–27,40698.0
