Driver,Constructor,Laps,Time/Retired,Grid
Emerson Fittipaldi,Lotus - Ford,40.0,1:43:55.6,2.0
Jackie Stewart,Tyrrell - Ford,40.0,+ 13.5,8.0
Denny Hulme,McLaren - Ford,40.0,+ 1:46.4,5.0
Arturo Merzario,Ferrari,39.0,+ 1 Lap,17.0
Jacky Ickx,Ferrari,39.0,+ 1 Lap,3.0
Clay Regazzoni,BRM,39.0,+ 1 Lap,4.0
Howden Ganley,Iso Marlboro - Ford,39.0,+ 1 Lap,14.0
Niki Lauda,BRM,38.0,+ 2 Laps,13.0
Nanni Galli,Iso Marlboro - Ford,38.0,+ 2 Laps,18.0
François Cevert,Tyrrell - Ford,38.0,+ 2 Laps,9.0
Carlos Reutemann,Brabham - Ford,38.0,+ 2 Laps,7.0
Luiz Bueno,Surtees - Ford,36.0,+ 4 Laps,20.0
Jean-Pierre Beltoise,BRM,23.0,Electrical,10.0
Mike Beuttler,March - Ford,18.0,Overheating,19.0
Carlos Pace,Surtees - Ford,9.0,Suspension,6.0
Mike Hailwood,Surtees - Ford,6.0,Gearbox,14.0
Jean-Pierre Jarier,March - Ford,6.0,Gearbox,15.0
Ronnie Peterson,Lotus - Ford,5.0,Wheel,1.0
Wilson Fittipaldi,Brabham - Ford,5.0,Overheating,11.0
Peter Revson,McLaren - Ford,3.0,Gearbox,12.0
