Settlement,Cyrillic Name Other Names,Type,Population (2011),Largest ethnic group (2002),Dominant religion (2002)
Zrenjanin,Зрењанин,city,76511.0,Serbs,Orthodox Christianity
Aradac,Арадац,village,3335.0,Serbs,Orthodox Christianity
Banatski Despotovac,Банатски Деспотовац,village,1291.0,Serbs,Orthodox Christianity
Belo Blato,Бело Блато (Slovak: Biele Blato),village,1342.0,Slovaks,Catholic Christianity
Botoš,Ботош,village,1860.0,Serbs,Orthodox Christianity
Čenta,Чента,village,3050.0,Serbs,Orthodox Christianity
Ečka,Ечка,village,3999.0,Serbs,Orthodox Christianity
Elemir,Елемир,village,4338.0,Serbs,Orthodox Christianity
Farkaždin,Фаркаждин,village,1179.0,Serbs,Orthodox Christianity
Jankov Most,Јанков Мост (Romanian: Iancăid),village,530.0,Romanians,Orthodox Christianity
Klek,Клек,village,2706.0,Serbs,Orthodox Christianity
Knićanin,Книћанин,village,1753.0,Serbs,Orthodox Christianity
Lazarevo,Лазарево,village,2877.0,Serbs,Orthodox Christianity
Lukićevo,Лукићево,village,1804.0,Serbs,Orthodox Christianity
Lukino Selo,Лукино Село (Hungarian: Lukácsfalva),village,498.0,Hungarians,Catholic Christianity
Melenci,Меленци,village,5982.0,Serbs,Orthodox Christianity
Mihajlovo,Михајлово (Hungarian: Magyarszentmihály),village,948.0,Hungarians,Catholic Christianity
Orlovat,Орловат,village,1516.0,Serbs,Orthodox Christianity
Perlez,Перлез,village,3383.0,Serbs,Orthodox Christianity
Stajićevo,Стајићево,village,1941.0,Serbs,Orthodox Christianity
Taraš,Тараш,village,1009.0,Serbs,Orthodox Christianity
