Date,Episode,Performer 1,Performer 2,Performer 3,Performer 4
18 January 1991,1.0,Josie Lawrence,Greg Proops,Jim Sweeney,Tony Slattery
25 January 1991,2.0,Josie Lawrence,Mark Cohen,Tony Slattery,Mike McShane
1 February 1991,3.0,Mike McShane,Sandi Toksvig,Paul Merton,Jim Sweeney
8 February 1991,4.0,Josie Lawrence,Paul Merton,Julian Clary,Mike McShane
15 February 1991,5.0,Mike McShane,Colin Mochrie,Sandi Toksvig,Tony Slattery
22 February 1991,6.0,Mike McShane,Josie Lawrence,Denalda Williams,Sandi Toksvig
1 March 1991,7.0,Mike McShane,Paul Merton,Steve Steen,Jim Sweeney
8 March 1991,8.0,Greg Proops,Sandi Toksvig,Tony Slattery,Mike McShane
15 March 1991,9.0,London Compilation,London Compilation,London Compilation,London Compilation
22 March 1991,10.0,Josie Lawrence,Ryan Stiles,Christopher Smith,Jim Meskimen
29 March 1991,11.0,Mike McShane,Mark Cohen,Greg Proops,John Sessions
5 April 1991,12.0,Josie Lawrence,Ryan Stiles,Colin Mochrie,Mike McShane
12 April 1991,13.0,Christopher Smith,Sandi Toksvig,Jim Meskimen,Mike McShane
19 April 1991,14.0,John Sessions,Archie Hahn,Ryan Stiles,Mike McShane
26 April 1991,15.0,Greg Proops,George McGrath,Ryan Stiles,Mike McShane
3 May 1991,16.0,Josie Lawrence,Greg Proops,Sandi Toksvig,Mike McShane
10 May 1991,17.0,New York Compilation,New York Compilation,New York Compilation,New York Compilation
