Year,Entrant,Chassis,Engine,Pts.
1971.0,Shell Arnold,March 701,Ford V8,0.0
1973.0,STP March Racing Team §,March 721G,Ford V8,0.0
1973.0,STP March Racing Team §,March 731,Ford V8,0.0
1974.0,UOP Shadow Racing Team,Shadow DN1,Ford V8,6.0
1974.0,UOP Shadow Racing Team,Shadow DN3,Ford V8,6.0
1975.0,UOP Shadow Racing Team,Shadow DN5,Ford V8,1.5
1975.0,UOP Shadow Racing Team,Shadow DN7,Matra V12,1.5
1976.0,Shadow Racing Team †,Shadow DN5B,Ford V8,0.0
1977.0,ATS Racing Team,Penske PC4,Ford V8,1.0
1977.0,Shadow Racing Team,Shadow DN8,Ford V8,1.0
1977.0,Ligier Gitanes,Ligier JS7,Matra V12,1.0
1978.0,ATS Racing Team,ATS HS1,Ford V8,0.0
1978.0,John Player Team Lotus,Lotus 79,Ford V8,0.0
1979.0,Candy Tyrrell Team ‡,Tyrrell 009,Ford V8,14.0
1980.0,Candy Tyrrell Team,Tyrrell 009,Ford V8,6.0
1980.0,Candy Tyrrell Team,Tyrrell 010,Ford V8,6.0
1981.0,Equipe Talbot Gitanes,Ligier JS17,Matra V12,0.0
1981.0,Osella Squadra Corse,Osella FA1B,Ford V8,0.0
1981.0,Osella Squadra Corse,Osella FA1C,Ford V8,0.0
1982.0,Osella Squadra Corse,Osella FA1C,Ford V8,3.0
1982.0,Osella Squadra Corse,Osella FA1D,Ford V8,3.0
1983.0,Equipe Ligier Gitanes,Ligier JS21,Ford V8,0.0
