Year,Film name,Music director,Lyricist,Language
1980.0,Kali Ghata,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1980.0,Hum Nahi Sudhrenge,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Yeh Kaisa Insaf ?,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Maan Abhimam,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Badrinath Dham,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Bombay 405 Miles,Kalyanji-Anandji,Indeevar,Hindi
1980.0,Khwab,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Sajan Mere Main Sajan Ki,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Zakhmon Ke Nishan,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Oh Bewafa,Vedpal Verma,Sawan Kumar,Hindi
1980.0,Insaaf Ka Tarazu,Ravindra Jain,Ravindra Jain,Hindi
1980.0,Sau Din Saas Ke,Kalyanji-Anandji,Indeevar,Hindi
1980.0,Aap To Aise Na The,Usha Khanna,Nida Fazli,Hindi
1980.0,Jwalamukhi,Kalyanji-Anandji,Anjaan,Hindi
1980.0,Kaala Pani,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1979.0,Sunayana,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Raja Harishchandra,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Naiyya,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Har Har Gange,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Dada,Usha Khanna,Ravindra Jain,Hindi
1979.0,Aatish,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Gopal Krishna,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Sujatha,Ravindra Jain,Mankombu,Malyalam
1979.0,Raadha Aur Seeta,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Bhayanak,Usha Khanna,Indeevar,Hindi
1979.0,Ghar Ki Laaj,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Man Ka Aangan,Ravindra Jain,Ravindra Jain,Hindi
1979.0,Ladke Baap Se Badke,Ravindra Jain,Ravindra Jain,Hindi
1978.0,Toofani Takker,C. Ramchandra,Ram Rasila,Hindi
1978.0,Rangilo Rajshthan,Babu Singh,Bharat Vyas,Rajasthani
1978.0,Sone Ka Dil Lohe Ke Haath,Usha Khanna,Asad Bhopali,Hindi
1978.0,Ankhiyon Ke Jharokhon Se,Ravindra Jain,Ravindra Jain,Hindi
1978.0,Main Tulsi Tere Aangan Ki,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1978.0,Madhumalti,Ravindra Jain,Ravindra Jain,Hindi
1978.0,Hamara Sansar,Ravindra Jain,Ravindra Jain,Hindi
1978.0,Ganga Sagar,Ravindra Jain,Ravindra Jain,Hindi
1978.0,Aakhri Kasam,Ravindra Jain,Ravindra Jain,Hindi
1978.0,Muqaddar Ka Sikandar,Kalyanji-Anandji,Anjaan,Hindi
1978.0,Saajan Bina Suhagan,Usha Khanna,Amit Khanna,Hindi
1977.0,Solah Shukrawar,Ravindra Jain,Ravindra Jain,Hindi
1977.0,Shyam Tere Kitne Naam,Ravindra Jain,Ravindra Jain,Hindi
1977.0,Safed Haathi,Ravindra Jain,Ravindra Jain,Hindi
1977.0,Paheli,Ravindra Jain,Ravindra Jain,Hindi
1977.0,Dulhan Wahi Jo Piya Man Bhaaye,Ravindra Jain,Ravindra Jain,Hindi
1977.0,Do Chehre,Sonik Omi,Bharat Vyas,Hindi
1977.0,Daku Aur Mahatma,Ravindra Jain,Ravindra Jain,Hindi
1977.0,Kotwal Saab,Ravindra Jain,Ravindra Jain,Hindi
1976.0,Chitchor,Ravindra Jain,Ravindra Jain,Hindi
1976.0,Jaaneman,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1976.0,Fakira,Ravindra Jain,Ravindra Jain,Hindi
1976.0,Raeeszada,Ravindra Jain,Ravindra Jain,Hindi
1976.0,Noor-E-Elahi,Babloo Dheeraj,Qamar Shaad,Hindi
1976.0,Noor-E-Elahi,Babloo Dheeraj,Qaisar- Ul- Jafri,Hindi
