Pick #,Player,Position,Nationality,NHL team,College/junior/club team
1.0,Mats Sundin,Centre,Sweden,Quebec Nordiques,Nacka HK ( Sweden )
2.0,Dave Chyzowski,Left Wing,Canada,New York Islanders,Kamloops Blazers ( WHL )
3.0,Scott Thornton,Centre,Canada,Toronto Maple Leafs,Belleville Bulls ( OHL )
4.0,Stu Barnes,Centre,Canada,Winnipeg Jets,Tri-City Americans (WHL)
5.0,Bill Guerin,Right Wing,United States,New Jersey Devils,Springfield Olympics (NEJHL)
6.0,Adam Bennett,Defence,Canada,Chicago Blackhawks,Sudbury Wolves (OHL)
7.0,Doug Zmolek,Defence,United States,Minnesota North Stars,Rochester John Marshall High School (USHS-MN)
8.0,Jason Herter,Defence,Canada,Vancouver Canucks,University of North Dakota ( NCAA )
9.0,Jason Marshall,Defence,Canada,St. Louis Blues,Vernon Lakers ( BCJHL )
10.0,Bobby Holik,Centre,Czechoslovakia,Hartford Whalers,Dukla Jihlava ( Czechoslovakia )
11.0,Mike Sillinger,Centre,Canada,Detroit Red Wings,Regina Pats (WHL)
12.0,Rob Pearson,Right Wing,Canada,Toronto Maple Leafs,Belleville Bulls (OHL)
13.0,Lindsay Vallis,Right Wing,Canada,Montreal Canadiens,Seattle Thunderbirds (WHL)
14.0,Kevin Haller,Defence,Canada,Buffalo Sabres,Regina Pats (WHL)
15.0,Jason Soules,Defence,Canada,Edmonton Oilers,Niagara Falls Thunder (OHL)
16.0,Jamie Heward,Defence,Canada,Pittsburgh Penguins,Regina Pats (WHL)
17.0,Shayne Stevenson,Centre,Canada,Boston Bruins,Kitchener Rangers (OHL)
18.0,Jason Miller,Centre,Canada,New Jersey Devils,Medicine Hat Tigers (WHL)
19.0,Olaf Kolzig,Goaltender,West Germany,Washington Capitals,Tri-City Americans (WHL)
20.0,Steven Rice,Right Wing,Canada,New York Rangers,Kitchener Rangers (OHL)
21.0,Steve Bancroft,Defence,Canada,Toronto Maple Leafs,Belleville Bulls (OHL)
