Rank,Heat,Lane,Name,Nationality,Time
1.0,3.0,5.0,Misty Hyman,United States,2:07.87
2.0,5.0,4.0,Susie O'Neill,Australia,2:07.97
3.0,4.0,4.0,Petria Thomas,Australia,2:08.70
3.0,4.0,5.0,Otylia Jędrzejczak,Poland,2:08.70
5.0,3.0,4.0,Mette Jacobsen,Denmark,2:09.30
6.0,5.0,5.0,Maki Mita,Japan,2:09.85
7.0,5.0,3.0,Kaitlin Sandeno,United States,2:09.92
8.0,3.0,3.0,Yuko Nakanishi,Japan,2:10.22
9.0,2.0,3.0,Cécile Jeanson,France,2:10.78
10.0,5.0,6.0,Mireia García,Spain,2:10.96
11.0,3.0,2.0,Georgina Lee,Great Britain,2:11.09
12.0,4.0,2.0,Éva Risztov,Hungary,2:11.32
13.0,5.0,2.0,Sophia Skou,Denmark,2:11.35
14.0,4.0,7.0,Mandy Loots,South Africa,2:11.38
15.0,4.0,6.0,Margaretha Pedder,Great Britain,2:11.59
16.0,3.0,8.0,Elizabeth van Welie,New Zealand,2:11.62
17.0,3.0,7.0,Jen Button,Canada,2:11.74
18.0,3.0,1.0,Yekaterina Vinogradova,Russia,2:11.94
19.0,4.0,1.0,Liu Limin,China,2:12.32
20.0,2.0,1.0,Mirjana Bosevska,Macedonia,2:12.59
21.0,5.0,1.0,Liu Yin,China,2:12.79
22.0,4.0,3.0,Jessica Deglau,Canada,2:12.86
23.0,2.0,4.0,Petra Zahrl,Austria,2:13.29
24.0,2.0,5.0,Zhanna Lozumyrska,Ukraine,2:14.47
25.0,5.0,7.0,María Peláez,Spain,2:14.66
26.0,5.0,8.0,Anna Uryniuk,Poland,2:14.87
27.0,2.0,6.0,Raquel Felgueiras,Portugal,2:15.19
28.0,3.0,6.0,Franziska van Almsick,Germany,2:15.68
29.0,4.0,8.0,Hsieh Shu-Tzu,Chinese Taipei,2:16.23
30.0,2.0,7.0,Natalia Roubina,Cyprus,2:17.01
31.0,2.0,2.0,Zampia Melachroinou,Greece,2:17.60
32.0,2.0,8.0,Christel Bouvron,Singapore,2:17.62
33.0,1.0,3.0,Chan Wing Suet,Hong Kong,2:19.86
34.0,1.0,5.0,Tinka Dančević,Croatia,2:21.02
35.0,1.0,4.0,Ana Carolina Aguilera,Argentina,2:21.23
36.0,1.0,6.0,Hana Majaj,Jordan,2:31.78
