Round,Pick,Player,Position,School/Club Team
1.0,5.0,Al Cowlings,Defensive End,USC
2.0,30.0,Dennis Shaw,Quarterback,San Diego State
3.0,57.0,Jim Reilly,Guard,Notre Dame
3.0,67.0,Glenn Alexander,Defensive back,Grambling
4.0,82.0,Jerome Gantt,Defensive end,North Carolina Central
5.0,109.0,Steve Starnes,Linebacker,Tampa
6.0,134.0,Ken Edwards,Running back,Virginia Tech
6.0,135.0,Grant Guthrie,Kicker,Florida State
7.0,161.0,Wayne Fowler,Tackle,Richmond
8.0,186.0,Richard Cheek,Tackle,Auburn
9.0,213.0,Bill Bridges,Guard,Houston
10.0,238.0,Willie Dixon,Defensive back,Albany State
11.0,265.0,Terry Williams,Running back,Grambling
12.0,290.0,Dave Simpson,Tackle,Drake
13.0,317.0,Steve Schroeder,Kicker,Pacific
14.0,342.0,William Costen,Tackle,Morris Brown
15.0,369.0,Dave Farris,Tight end,Central Michigan
16.0,394.0,Larry Davis,Wide receiver,Rice
17.0,421.0,George Bevan,Defensive back,Louisiana State
