Round,Pick,Overall,Name,Position,College
1.0,8.0,8.0,Jim Hardy,QB,Southern California
3.0,7.0,23.0,John Adams,OT,Notre Dame
5.0,6.0,38.0,George Bujan,C,Oregon
6.0,8.0,51.0,John North,E,Vanderbilt
7.0,7.0,61.0,John Steber,G,Georgia Tech
8.0,6.0,71.0,Art Porter,E,Tulane
9.0,8.0,84.0,Curt Kuykendall,RB,Auburn
10.0,7.0,94.0,Frank Brogger,E,Michigan State
11.0,6.0,104.0,Mack Creger,RB,Northwestern
12.0,8.0,117.0,Paul McKee,E,Syracuse
13.0,7.0,127.0,Charlie Conerly,QB,Mississippi
14.0,6.0,137.0,John Putnik,E,Utah State
15.0,8.0,150.0,Eddie Saenz,HB,Southern California
16.0,7.0,160.0,Dom Fusci,OT,South Carolina
17.0,6.0,170.0,Bobby Jenkins,RB,Alabama
18.0,8.0,183.0,Ed Stacco,OT,Colgate
19.0,7.0,193.0,Jim Bradshaw,C,Auburn
20.0,6.0,203.0,Bill Shipkey,RB,Stanford
21.0,8.0,216.0,Sid Halliday,OT,Southern Methodist
22.0,7.0,226.0,Chick Davidson,OT,Cornell
23.0,6.0,236.0,Gabby Martin,E,Southern Methodist
24.0,8.0,249.0,Jim McCurdy,C,Stanford
25.0,7.0,259.0,Cecil Souders,E,Ohio State
26.0,6.0,269.0,Ben Wall,RB,Western Michigan
27.0,8.0,282.0,George Hillery,E,Texas-El Paso
28.0,7.0,292.0,Milford Dreblow,RB,Southern California
29.0,6.0,302.0,Frank Irwin,OT,Duke
30.0,8.0,315.0,Leon Diner,E,Denver
31.0,2.0,320.0,Bob Cummings,C,Vanderbilt
32.0,1.0,325.0,Don Nolander,C,Minnesota
