Date,Episode,Performer 1,Performer 2,Performer 3,Performer 4
22 April 1998,1.0,Brad Sherwood,Wayne Brady,Colin Mochrie,Ryan Stiles
29 April 1998,2.0,Greg Proops,Phil LaMarr,Colin Mochrie,Ryan Stiles
6 May 1998,3.0,Greg Proops,Karen Maruyama,Colin Mochrie,Ryan Stiles
13 May 1998,4.0,Patrick Bristow,Wayne Brady,Colin Mochrie,Ryan Stiles
20 May 1998,5.0,Greg Proops,Brad Sherwood,Colin Mochrie,Ryan Stiles
27 May 1998,6.0,Greg Proops,Catherine O'Hara,Colin Mochrie,Ryan Stiles
4 June 1998,7.0,Greg Proops,Phil LaMarr,Colin Mochrie,Ryan Stiles
11 June 1998,8.0,Brad Sherwood,Wayne Brady,Colin Mochrie,Ryan Stiles
18 June 1998,9.0,Brad Sherwood,Debra Wilson,Colin Mochrie,Ryan Stiles
25 June 1998,10.0,Compilation 1,Compilation 1,Compilation 1,Compilation 1
2 July 1998,11.0,Compilation 2,Compilation 2,Compilation 2,Compilation 2
