Country,1948/49 ($ millions),1949/50 ($ millions),1950/51 ($ millions),Cumulative ($ millions)
Austria,232.0,166.0,70.0,468.0
Belgium and Luxembourg,195.0,222.0,360.0,777.0
Denmark,103.0,87.0,195.0,385.0
France,1085.0,691.0,520.0,2296.0
West Germany,510.0,438.0,500.0,1448.0
Greece,175.0,156.0,45.0,376.0
Iceland,6.0,22.0,15.0,43.0
Ireland,88.0,45.0,0.0,133.0
Italy and Trieste,594.0,405.0,205.0,1204.0
Netherlands,471.0,302.0,355.0,1128.0
Norway,82.0,90.0,200.0,372.0
Portugal,0.0,0.0,70.0,70.0
Sweden,39.0,48.0,260.0,347.0
Switzerland,0.0,0.0,250.0,250.0
Turkey,28.0,59.0,50.0,137.0
United Kingdom,1316.0,921.0,1060.0,3297.0
