Locale,Skip,W,L,PF,PA,Ends Won,Ends Lost,Blank Ends,Stolen Ends,Shot Pct.
Newfoundland and Labrador,Brad Gushue,9.0,2.0,78.0,51.0,47.0,37.0,15.0,13.0,85.0
Manitoba,Jeff Stoughton,9.0,2.0,83.0,41.0,40.0,36.0,18.0,7.0,88.0
Alberta,Kevin Martin,9.0,2.0,75.0,52.0,47.0,33.0,11.0,15.0,84.0
Ontario,Glenn Howard,8.0,3.0,82.0,39.0,43.0,29.0,21.0,13.0,85.0
Northern Ontario,Brad Jacobs,7.0,4.0,68.0,59.0,47.0,38.0,18.0,9.0,84.0
Nova Scotia,Shawn Adams,5.0,6.0,71.0,72.0,44.0,42.0,9.0,9.0,82.0
British Columbia,Jim Cotter,4.0,7.0,58.0,68.0,41.0,47.0,11.0,7.0,77.0
Saskatchewan,Steve Laycock,4.0,7.0,59.0,76.0,46.0,48.0,11.0,9.0,77.0
New Brunswick,James Grattan,4.0,7.0,59.0,70.0,43.0,46.0,19.0,6.0,80.0
Quebec,François Gagné,3.0,8.0,74.0,78.0,43.0,49.0,10.0,6.0,78.0
Northwest Territories / Yukon,Jamie Koe,3.0,8.0,55.0,88.0,38.0,53.0,6.0,5.0,75.0
