Country,Population (2011),"GDP (nominal) (2010, US$ millions)","Military expenditures (2011, US$ millions)","Military expenditures (2011, % of GDP)","Defence expenditures, (2011, per capita)","Deployable military (2011, thousands)"
Albania,2834667.0,13292.0,197.0,1.5,51.0,10
Belgium,10827519.0,465676.0,5541.0,1.1,404.0,32
Bulgaria,7351234.0,44843.0,758.0,1.55,64.0,29
Canada,34447000.0,1574051.0,23685.0,1.4,492.0,60
Croatia,4425747.0,59917.0,970.0,1.5,161.0,16
Czech Republic,10515818.0,192152.0,2448.0,1.1,162.0,23
Denmark,5560628.0,310760.0,4518.0,1.4,636.0,18
Estonia,1340122.0,19220.0,389.0,1.7,195.0,6
France,65821885.0,2582527.0,53444.0,1.9,666.0,227
Germany,81802000.0,3315643.0,48140.0,1.4,500.0,205
Greece,11306183.0,305415.0,6425.0,2.1,427.0,124
Hungary,10014324.0,128960.0,1378.0,1.0,111.0,29
Iceland,318452.0,12767.0,12.0,0.09,37.0,0a
Italy,60605053.0,2055114.0,30228.0,1.4,351.0,352
Latvia,2229500.0,23385.0,289.0,1.0,76.0,5
Lithuania,3249400.0,35734.0,351.0,0.8,75.0,9
Luxembourg,502100.0,52433.0,279.0,0.5,402.0,0.9
Netherlands,16667700.0,783293.0,11339.0,1.3,553.0,48
Norway,4937900.0,483650.0,7232.0,1.5,1036.0,21
Poland,38092000.0,468539.0,8908.0,1.7,181.0,100
Portugal,10636888.0,229336.0,3611.0,1.5,274.0,39
Romania,21466174.0,161629.0,2380.0,1.3,67.0,66
Slovakia,5435273.0,86262.0,1065.0,1.1,126.0,16
Slovenia,2046510.0,46442.0,665.0,1.3,255.0,7
Spain,46148605.0,1409946.0,13984.0,0.9,241.0,127
Turkey,73722988.0,741853.0,14479.0,1.9,149.0,495
United Kingdom,62008048.0,2247455.0,63567.0,2.6,994.0,192
United States,311328000.0,14657800.0,731879.0,4.8,2060.0,"1,427"
