Rank,Rider,Team,Speed,Time
1.0,Siegfried Schauzu /H Schneider,BMW,90.21mph,1.15.18.0
2.0,Peter Brown/Mick Casey,BSA,85.97mph,1.19.00.4
3.0,E.H.Leece/John Molyneaux,LWC,81.02mph,1.23.50.2
4.0,Bill Cooper/D B Argent,WEC,80.68mph,1.24.11.8
5.0,Mick Horsepole/E MacPherson,Triumph,80.64mph,1.24.14.2
6.0,A.J.Sansum/Alex MacFadzean,Triumph,79.58mph,1.25.21.6
7.0,Mac Hobson/Geoff Atkinson,BSA,79.44mph,1.25.30.6
8.0,A.Swindells/D Bayer,WEC,79.02mph,1.25.57.0
9.0,Roy Woodhouse/Doug Woodhouse,Honda,78.39mph,1.26.38.6
10.0,Peter Krukowski/Alistair Lewis,BSA,77.76mph,1.27.21.0
