Name,Population (2002 census),Population (2007 estimation),Population (2011 census),Area (km²),Density (pop/km²)
Braşov,283901.0,277945.0,253200.0,267.32,"1,204"
Codlea,24256.0,24550.0,21708.0,132.79,182
Săcele,30044.0,31796.0,30798.0,320,93
Ghimbav,5100.0,5357.0,4698.0,28.08,181.62
Predeal,5625.0,5174.0,4755.0,58.4,96.14
Râşnov,15436.0,16055.0,15022.0,164.36,94
Cristian,3952.0,4300.0,4490.0,27.73,142.51
Sânpetru,3401.0,3759.0,4819.0,30.74,110.63
Hălchiu,4072.0,4560.0,4218.0,56.67,71.85
Tărlungeni,7413.0,7996.0,8320.0,135.66,54.65
Prejmer,8323.0,8876.0,8472.0,60.48,137.61
Hărman,4437.0,4775.0,5402.0,52.79,84.05
Bod,3942.0,4173.0,3994.0,33.56,117.46
